# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = binomial_1.data.R
# init = 2 (Default)
# random
#   seed = 1998702758
# output
#   file = binomial_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.945134
# Diagonal elements of inverse mass matrix:
# 0.000877007, 3.50248
-2878.22,0.748074,0.945134,1,3,0,2878.89,0.683307,0.368443
-2878.26,0.994292,0.945134,2,3,0,2878.27,0.683745,0.663758
-2880.63,0.718706,0.945134,2,3,0,2880.87,0.671282,0.120569
-2881.07,0.883281,0.945134,2,3,0,2882.65,0.700005,0.388414
-2878.47,1,0.945134,2,7,0,2880.59,0.678788,0.630126
-2878.16,0.944004,0.945134,2,3,0,2879.02,0.685169,0.48485
-2878.39,0.712376,0.945134,2,3,0,2879.62,0.679445,0.381078
-2878.36,0.922183,0.945134,2,7,0,2879.05,0.687826,0.602087
-2878.19,0.989032,0.945134,2,3,0,2878.51,0.681567,0.528815
-2878.4,0.929645,0.945134,1,3,0,2878.46,0.683651,0.737505
-2879.02,0.808379,0.945134,2,3,0,2879.75,0.689698,0.812662
-2878.41,0.86844,0.945134,2,3,0,2880.23,0.681604,0.279247
-2878.41,0.223643,0.945134,1,3,0,2881.46,0.681604,0.279247
-2878.39,0.947096,0.945134,2,3,0,2878.78,0.688469,0.458326
-2879.08,0.700063,0.945134,2,3,0,2879.59,0.679136,0.143385
-2878.64,0.880994,0.945134,1,3,0,2880.04,0.689938,0.353933
-2878.7,0.833296,0.945134,2,3,0,2879.65,0.67858,0.744581
-2879.63,0.882042,0.945134,2,3,0,2880.19,0.674035,0.187676
-2880.29,0.882265,0.945134,2,3,0,2880.94,0.688899,0.959324
-2881.03,1,0.945134,2,3,0,2881.44,0.681757,0.0147433
-2878.53,0.692779,0.945134,2,3,0,2881.48,0.68879,0.33704
-2878.89,0.93536,0.945134,2,3,0,2879.36,0.69159,0.641493
-2878.85,0.980305,0.945134,2,3,0,2879.12,0.677389,0.25199
-2878.72,0.99163,0.945134,2,7,0,2879.06,0.685314,0.825425
-2879.69,0.84592,0.945134,1,1,0,2879.7,0.687126,0.935452
-2879.2,0.977102,0.945134,2,3,0,2879.99,0.687798,0.117298
-2879.12,0.932308,0.945134,2,3,0,2880.56,0.689565,0.161177
-2878.43,1,0.945134,1,1,0,2878.93,0.68824,0.373115
-2878.46,0.984076,0.945134,2,3,0,2878.63,0.678472,0.421624
-2878.78,0.813269,0.945134,1,3,0,2879.48,0.686749,0.175754
-2878.45,0.972785,0.945134,2,3,0,2879.21,0.680112,0.699116
-2878.35,0.995807,0.945134,2,3,0,2878.63,0.685359,0.297906
-2880.11,0.622891,0.945134,2,3,0,2880.23,0.685875,0.961672
-2879.43,1,0.945134,2,3,0,2880.13,0.6852,0.924024
-2878.19,0.997183,0.945134,2,3,0,2879.3,0.681567,0.516228
-2879.94,0.727468,0.945134,2,3,0,2880.34,0.671097,0.670334
-2880.62,0.866124,0.945134,1,1,0,2880.84,0.66898,0.709092
-2879.3,1,0.945134,1,1,0,2880.43,0.674228,0.713402
-2878.82,1,0.945134,1,1,0,2879.25,0.67628,0.648861
-2878.5,0.839004,0.945134,2,3,0,2879.5,0.689458,0.53299
-2878.15,0.870261,0.945134,2,3,0,2879.69,0.6833,0.51706
-2878.89,0.773589,0.945134,1,3,0,2878.98,0.682047,0.142293
-2878.24,1,0.945134,2,3,0,2878.78,0.680897,0.556013
-2878.6,0.876557,0.945134,2,3,0,2878.69,0.681401,0.213734
-2878.78,0.99048,0.945134,2,3,0,2878.79,0.686167,0.830949
-2879.11,0.972888,0.945134,2,3,0,2879.41,0.690792,0.203641
-2879.62,0.967459,0.945134,2,3,0,2879.82,0.689162,0.0857963
-2878.8,0.902241,0.945134,2,3,0,2881.14,0.675926,0.56297
-2878.53,1,0.945134,1,1,0,2878.79,0.677857,0.425289
-2878.55,0.922574,0.945134,2,3,0,2879.12,0.679681,0.729192
-2878.94,0.962609,0.945134,2,3,0,2879.09,0.691774,0.343066
-2879.02,0.996265,0.945134,2,7,0,2879.05,0.675774,0.715224
-2879.63,0.606607,0.945134,2,3,0,2881.18,0.694113,0.237389
-2879.21,1,0.945134,1,1,0,2879.67,0.692973,0.314217
-2878.28,0.998629,0.945134,2,3,0,2879.28,0.686516,0.616642
-2880.79,0.550604,0.945134,1,3,0,2881.15,0.696239,0.891697
-2879.07,1,0.945134,2,3,0,2880.4,0.692773,0.608078
-2878.21,1,0.945134,2,3,0,2878.91,0.682057,0.401045
