"State","mormonPop","Pop"
"Utah","2126216","3310774"
"California","756507","39613493"
"Idaho","462069","1860123"
"Arizona","436521","7520103"
"Texas","362037","29730311"
"Washington","289479","7796941"
"Nevada","184703","3185786"
"Florida","160266","21944577"
"Oregon","153540","4289439"
"Colorado","150059","5893634"
"Virginia","96496","8603985"
"North Carolina","89083","10701022"
"Georgia","87411","10830007"
"New York","83293","19299981"
"Hawaii","75009","1406430"
"Missouri","72525","6169038"
"New Mexico","69488","2105005"
"Wyoming","67729","581075"
"Ohio","62623","11714618"
"Illinois","56888","12569321"
"Tennessee","52290","6944260"
"Pennsylvania","52290","12804123"
"Montana","50552","1085004"
"Oklahoma","49227","3990443"
"Indiana","45942","6805663"
"Michigan","45074","9992427"
"Maryland","43411","6065436"
"South Carolina","41358","5277830"
"Kansas","38311","2917224"
"Alabama","37765","4934193"
"Kentucky","35886","4480713"
"New Jersey","34173","8874520"
"Alaska","33495","724357"
"Minnesota","33276","5706398"
"Arkansas","32307","3033946"
"Iowa","28402","3167974"
"Massachusetts","28040","6912239"
"Wisconsin","27125","5852490"
"Louisiana","25589","4627002"
"Nebraska","25098","1951996"
"Mississippi","21649","2966407"
"West Virginia","17143","1767859"
"Connecticut","15946","3552821"
"North Dakota","11550","770026"
"Maine","10958","1354522"
"South Dakota","10610","896581"
"New Hampshire","8872","1372203"
"Delaware","5634","990334"
"Vermont","4623","623251"
"Rhode Island","4259","1061509"
