# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = binomial_3.data.R
# init = 2 (Default)
# random
#   seed = 1998702777
# output
#   file = binomial_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.719904
# Diagonal elements of inverse mass matrix:
# 0.000990698, 3.47864
-2878.23,0.998341,0.719904,3,7,0,2879.74,0.68299,0.63667
-2878.25,0.998957,0.719904,2,3,0,2878.3,0.68193,0.365521
-2878.45,0.986701,0.719904,2,3,0,2878.5,0.678687,0.600213
-2882.39,0.565352,0.719904,2,3,0,2882.84,0.697414,0.0279051
-2880.12,0.983153,0.719904,3,7,0,2883.06,0.670398,0.339786
-2881.72,0.899502,0.719904,2,3,0,2881.97,0.668113,0.0995323
-2881.12,1,0.719904,1,1,0,2881.88,0.668988,0.146264
-2881.4,0.9946,0.719904,3,7,0,2882.99,0.699548,0.823507
-2881.21,1,0.719904,3,7,0,2881.79,0.698041,0.878466
-2879.74,1,0.719904,3,7,0,2882,0.679347,0.933651
-2878.86,0.967622,0.719904,3,7,0,2880.57,0.675956,0.364846
-2878.92,0.950925,0.719904,2,7,0,2879.68,0.687879,0.165621
-2878.91,0.97294,0.719904,2,3,0,2879.89,0.689563,0.789046
-2879.8,0.689323,0.719904,3,13,0,2884.82,0.673287,0.185325
-2878.93,0.998747,0.719904,3,15,0,2880,0.691266,0.297213
-2878.26,1,0.719904,2,3,0,2878.86,0.685634,0.638236
-2878.47,0.973903,0.719904,2,7,0,2878.52,0.683025,0.236085
-2878.69,0.990592,0.719904,2,3,0,2878.87,0.679429,0.227408
-2878.49,0.772532,0.719904,3,7,0,2881.03,0.689137,0.413444
-2879.22,0.88889,0.719904,2,3,0,2879.44,0.689469,0.859193
-2878.17,0.941685,0.719904,1,3,0,2880.12,0.682438,0.455607
-2879,0.792364,0.719904,1,3,0,2880,0.689763,0.8046
-2878.47,0.994645,0.719904,3,7,0,2879.16,0.679466,0.324736
-2878.36,0.975919,0.719904,2,3,0,2878.79,0.680673,0.664969
-2879.42,0.873677,0.719904,4,23,0,2880.27,0.673432,0.30973
-2878.88,0.969221,0.719904,3,7,0,2880.25,0.692013,0.499487
-2878.24,0.985036,0.719904,2,3,0,2879.12,0.681257,0.585383
-2878.38,0.980803,0.719904,3,7,0,2878.48,0.67969,0.622924
-2878.43,0.879257,0.719904,2,7,0,2879.36,0.685606,0.734925
-2878.31,0.943537,0.719904,1,3,0,2879.11,0.679729,0.481728
-2878.73,0.891273,0.719904,2,7,0,2879.13,0.682172,0.172012
-2878.3,1,0.719904,2,3,0,2878.73,0.681159,0.353732
-2878.36,0.997478,0.719904,3,7,0,2878.39,0.679904,0.37377
-2878.75,0.931465,0.719904,2,3,0,2878.94,0.681913,0.169273
-2878.61,0.903213,0.719904,1,3,0,2880.44,0.685393,0.798146
-2878.47,0.998693,0.719904,2,7,0,2878.77,0.688283,0.337991
-2878.44,0.989848,0.719904,2,7,0,2878.73,0.679318,0.651084
-2878.16,0.987846,0.719904,3,7,0,2878.71,0.684743,0.537209
-2880.21,0.564059,0.719904,2,5,0,2881.85,0.691662,0.0663405
-2878.5,0.996572,0.719904,2,3,0,2880.84,0.679494,0.305959
-2878.28,0.988577,0.719904,2,3,0,2878.63,0.680527,0.583345
-2878.55,0.894514,0.719904,3,13,0,2879.82,0.689722,0.417096
-2878.34,0.989365,0.719904,2,7,0,2878.78,0.682383,0.296924
-2880.17,0.779068,0.719904,3,7,0,2880.29,0.687289,0.0391004
-2879.6,1,0.719904,2,3,0,2880.96,0.677241,0.101519
-2880.22,0.94628,0.719904,1,1,0,2880.25,0.67595,0.0633919
-2878.62,1,0.719904,2,3,0,2880.2,0.677963,0.669608
-2879,0.967669,0.719904,2,3,0,2879.13,0.678916,0.838584
-2878.8,0.97705,0.719904,2,3,0,2879.53,0.67864,0.782769
-2882.44,0.713599,0.719904,3,7,0,2882.61,0.675402,0.992902
-2878.66,0.99466,0.719904,3,7,0,2881.92,0.687863,0.231894
-2878.25,0.948143,0.719904,1,3,0,2879.29,0.683812,0.660955
-2879.63,0.77115,0.719904,2,3,0,2880.95,0.671945,0.576771
-2878.16,1,0.719904,2,5,0,2879.46,0.683742,0.430597
-2878.91,0.890291,0.719904,2,3,0,2879.37,0.69215,0.521298
-2879.1,0.937309,0.719904,2,7,0,2879.58,0.690549,0.196771
-2879.52,0.934965,0.719904,3,15,0,2881.12,0.689919,0.893328
-2879.69,0.988506,0.719904,1,1,0,2879.83,0.689572,0.916648
-2879.39,1,0.719904,3,7,0,2879.97,0.679145,0.0999742
-2879.21,0.970631,0.719904,2,3,0,2880.2,0.674384,0.315721
-2878.47,1,0.719904,2,3,0,2879.28,0.678393,0.577018
-2879.3,0.93068,0.719904,2,3,0,2879.48,0.673594,0.363227
-2879.39,0.998855,0.719904,3,7,0,2879.44,0.694297,0.606862
-2878.18,0.98383,0.719904,3,7,0,2879.75,0.683637,0.403195
-2879.1,0.817389,0.719904,1,3,0,2880.13,0.675143,0.703475
-2879.2,0.818024,0.719904,2,3,0,2881.44,0.678652,0.130586
-2878.59,0.9932,0.719904,2,3,0,2879.75,0.690088,0.551367
-2878.74,0.912785,0.719904,3,11,0,2879.53,0.690936,0.601302
-2878.91,0.99407,0.719904,4,15,0,2878.97,0.676206,0.304565
-2879.72,0.784937,0.719904,2,3,0,2881.26,0.683541,0.0545695
