# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = binomial_3.data.R
# init = 2 (Default)
# random
#   seed = 3415097985
# output
#   file = binomial_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.951642
# Diagonal elements of inverse mass matrix:
# 0.0315429, 3.84118
-101.779,0.996531,0.951642,1,3,0,102.413,0.559115,0.626203
-101.888,0.978259,0.951642,2,3,0,101.909,0.558268,0.701581
-105.205,0.263041,0.951642,2,3,0,105.866,0.519639,0.989005
-103.19,0.969581,0.951642,2,3,0,106.174,0.588139,0.0866524
-102.569,0.981558,0.951642,1,3,0,104.326,0.538051,0.867873
-102.025,0.967818,0.951642,2,3,0,103.07,0.582066,0.651434
-102.429,0.828695,0.951642,2,3,0,102.845,0.548116,0.143705
-102.856,0.974035,0.951642,2,3,0,102.992,0.528374,0.890821
-105.327,0.61951,0.951642,2,3,0,105.893,0.579243,0.991935
-105.148,1,0.951642,2,7,0,105.309,0.529137,0.00981597
-105.586,0.888749,0.951642,2,7,0,105.998,0.578835,0.993818
-102.844,0.682585,0.951642,2,7,0,105.491,0.567083,0.907582
-104.31,0.789125,0.951642,1,1,0,104.386,0.599305,0.96517
-102.342,1,0.951642,2,3,0,103.733,0.526704,0.212037
-103.938,0.753153,0.951642,2,3,0,104.053,0.592018,0.957503
-103.15,0.936102,0.951642,2,3,0,105.049,0.515378,0.896044
-102.462,1,0.951642,2,3,0,103.154,0.506432,0.630157
-101.893,0.988764,0.951642,1,3,0,102.458,0.54546,0.692364
-105.171,0.354397,0.951642,2,3,0,106.009,0.472079,0.061725
-102.233,0.930215,0.951642,2,3,0,105.355,0.570694,0.198812
-102.594,0.919313,0.951642,1,1,0,102.704,0.565277,0.121083
-103.586,0.472086,0.951642,1,3,0,105.423,0.56002,0.959887
-105.775,0.961659,0.951642,2,7,0,106.052,0.500005,0.0104101
-102.67,0.793343,0.951642,2,3,0,105.478,0.54515,0.110261
-102.937,0.96029,0.951642,2,3,0,103.311,0.520248,0.882393
-101.99,1,0.951642,1,1,0,102.691,0.541153,0.725672
-101.99,0.878345,0.951642,1,1,0,102.344,0.541153,0.725672
-105.783,0.228775,0.951642,2,3,0,106.787,0.605387,0.990723
-102.549,1,0.951642,2,3,0,105.476,0.509008,0.725813
-102.218,1,0.951642,1,1,0,102.581,0.524788,0.733566
-102.427,0.862918,0.951642,2,3,0,103.082,0.600314,0.651299
-103.926,0.697102,0.951642,1,1,0,103.975,0.638995,0.595362
-104.115,0.958474,0.951642,2,3,0,104.684,0.468139,0.718427
-107.02,0.405224,0.951642,2,3,0,107.642,0.634122,0.00856579
-105.088,0.954928,0.951642,2,7,0,108.606,0.563765,0.991207
-103.273,0.948921,0.951642,2,3,0,105.348,0.590568,0.916408
-102.857,0.988287,0.951642,2,3,0,103.405,0.518716,0.133837
-102.119,0.996411,0.951642,2,3,0,103.015,0.543947,0.780131
-101.855,0.978664,0.951642,2,3,0,102.235,0.564401,0.331939
-101.855,0.288521,0.951642,1,3,0,104.853,0.564401,0.331939
-102.557,0.825899,0.951642,1,3,0,102.916,0.522648,0.824345
-105.309,0.501574,0.951642,2,3,0,105.96,0.609102,0.98308
-104.931,1,0.951642,2,3,0,106.265,0.504247,0.0214928
-101.961,1,0.951642,1,3,0,104.452,0.525697,0.534493
-101.961,0.910624,0.951642,1,1,0,102.229,0.525697,0.534493
-103.074,0.614156,0.951642,2,3,0,103.565,0.60542,0.834521
-102.93,1,0.951642,1,1,0,103.365,0.610351,0.750519
-103.46,0.96483,0.951642,2,3,0,103.814,0.625843,0.281477
-102.307,0.977509,0.951642,1,3,0,103.465,0.576239,0.19579
-101.877,0.968015,0.951642,1,3,0,102.426,0.533957,0.399079
-103.266,0.541104,0.951642,2,3,0,103.698,0.539185,0.939884
-104.292,0.944779,0.951642,1,1,0,104.416,0.558939,0.980682
-102.399,0.820215,0.951642,2,3,0,104.38,0.523669,0.789317
-103.794,0.697437,0.951642,1,1,0,103.875,0.486985,0.861851
-105.247,0.685709,0.951642,1,1,0,105.596,0.457183,0.863259
-102.209,1,0.951642,1,3,0,104.68,0.532212,0.77239
-102.37,0.982402,0.951642,2,3,0,102.7,0.540071,0.164349
-102.172,1,0.951642,1,1,0,102.444,0.534345,0.231012
-102.172,0.823087,0.951642,1,3,0,103.183,0.534345,0.231012
-102.692,0.905975,0.951642,2,3,0,103.257,0.515244,0.819823
-102.379,0.757232,0.951642,2,3,0,104.572,0.598257,0.342873
-102.379,0.772531,0.951642,1,1,0,103.057,0.598257,0.342873
-103.299,0.887973,0.951642,2,3,0,103.614,0.481094,0.469895
-101.719,0.972982,0.951642,2,3,0,103.429,0.556984,0.450512
-104.639,0.549638,0.951642,2,3,0,105.176,0.471853,0.112209
-102.841,1,0.951642,2,3,0,104.408,0.577074,0.895901
-103.187,0.966703,0.951642,1,1,0,103.403,0.567002,0.936451
-103.161,0.876742,0.951642,2,3,0,104.778,0.541689,0.0658027
-103.884,0.948513,0.951642,2,3,0,103.977,0.599056,0.945989
-103.121,0.887496,0.951642,2,3,0,104.491,0.571822,0.071365
-102.949,0.938278,0.951642,2,3,0,103.335,0.559227,0.921161
-103.374,0.773187,0.951642,2,3,0,105.609,0.556135,0.0496884
-105.283,0.644065,0.951642,2,3,0,106.434,0.46923,0.936387
-101.759,0.96014,0.951642,1,3,0,104.644,0.547102,0.591269
-101.759,0.69303,0.951642,1,3,0,102.642,0.547102,0.591269
-102.122,0.921073,0.951642,2,3,0,102.123,0.539857,0.771375
-102.122,0.379872,0.951642,1,3,0,105.235,0.539857,0.771375
-102.244,0.994192,0.951642,2,3,0,102.489,0.591997,0.330527
-101.842,1,0.951642,2,3,0,102.319,0.559509,0.67326
-102.198,0.819451,0.951642,2,3,0,103.092,0.554223,0.188552
-102.313,0.982197,0.951642,2,3,0,102.442,0.579959,0.792068
-101.84,1,0.951642,2,3,0,102.157,0.575653,0.526486
-102.178,0.911945,0.951642,1,1,0,102.18,0.592769,0.597262
-102.557,0.900165,0.951642,2,3,0,102.89,0.51824,0.196892
-102.38,1,0.951642,2,3,0,102.555,0.583339,0.795559
-102.47,0.803516,0.951642,2,3,0,104.067,0.528575,0.172394
-104.468,0.65721,0.951642,1,1,0,104.471,0.495858,0.0457612
-102.374,1,0.951642,2,3,0,103.992,0.601007,0.577524
-102.056,0.986236,0.951642,2,3,0,102.555,0.565434,0.760115
-102.056,0.446776,0.951642,1,3,0,104.805,0.565434,0.760115
-101.761,0.818969,0.951642,2,3,0,103.252,0.542758,0.552071
-101.937,0.667232,0.951642,2,3,0,103.139,0.5653,0.711534
-103.019,0.597405,0.951642,2,3,0,103.889,0.504812,0.831826
-103.325,0.99031,0.951642,2,3,0,103.894,0.626571,0.395236
-102.225,1,0.951642,2,3,0,103.362,0.51448,0.399022
-102.225,0.247314,0.951642,2,3,0,106.54,0.51448,0.399022
-102.309,0.746895,0.951642,2,3,0,103.292,0.593351,0.309852
-101.747,1,0.951642,1,3,0,102.182,0.562906,0.429849
-101.747,0.591859,0.951642,2,3,0,103.628,0.562906,0.429849
-101.747,0.625629,0.951642,1,3,0,102.679,0.562906,0.429849
-103.183,0.598922,0.951642,1,3,0,103.26,0.588521,0.0880856
-102.469,1,0.951642,1,1,0,103.148,0.591146,0.223392
-103.107,0.878131,0.951642,2,3,0,103.537,0.519119,0.900579
-102.905,1,0.951642,1,1,0,103.345,0.524379,0.888611
-104.097,0.853922,0.951642,2,3,0,104.384,0.628796,0.14249
-102.512,0.949548,0.951642,2,3,0,105.024,0.583874,0.825604
-103.118,0.833597,0.951642,2,3,0,104.83,0.622283,0.42325
-102.293,0.919034,0.951642,2,3,0,103.696,0.527931,0.220716
-102.293,0.728995,0.951642,1,3,0,103.72,0.527931,0.220716
-101.92,0.992854,0.951642,2,3,0,102.351,0.58141,0.47968
-102.979,0.583705,0.951642,2,3,0,103.507,0.525861,0.0995312
-102.936,0.80033,0.951642,2,3,0,105.161,0.489985,0.496208
-103.513,0.689038,0.951642,2,3,0,105.343,0.622696,0.787576
-102.6,1,0.951642,1,1,0,103.434,0.59605,0.781606
-101.935,1,0.951642,2,3,0,102.514,0.563461,0.715663
-101.763,0.893848,0.951642,2,3,0,102.298,0.566945,0.554714
-106.251,0.25075,0.951642,2,3,0,107.779,0.48455,0.988615
-108.303,0.974307,0.951642,3,15,0,110.927,0.529324,0.999587
-103.796,1,0.951642,2,3,0,108.393,0.560398,0.967712
-101.817,0.992789,0.951642,2,3,0,103.329,0.571502,0.419395
-102.971,0.255804,0.951642,2,3,0,106.339,0.536689,0.914973
-104.388,0.909353,0.951642,2,3,0,104.611,0.491819,0.942013
-102.518,1,0.951642,2,3,0,104.515,0.565316,0.867584
-102.181,1,0.951642,2,3,0,102.606,0.529823,0.249085
-101.808,1,0.951642,2,3,0,102.164,0.559313,0.349471
-102.126,0.892906,0.951642,1,1,0,102.143,0.556893,0.207832
-101.736,0.999934,0.951642,1,3,0,102.001,0.563859,0.531285
-101.736,0.138983,0.951642,1,3,0,107.026,0.563859,0.531285
-101.736,0.445397,0.951642,1,3,0,104.582,0.563859,0.531285
-103.106,0.71649,0.951642,1,3,0,103.253,0.61767,0.711763
-104.391,0.547611,0.951642,2,3,0,105.631,0.567889,0.981703
-102.619,1,0.951642,2,3,0,104.04,0.52773,0.145782
-102.496,1,0.951642,2,3,0,102.638,0.567474,0.861739
-102.005,1,0.951642,2,3,0,102.432,0.546875,0.25328
-101.973,0.999497,0.951642,2,3,0,102.159,0.577362,0.664273
-102.49,0.652851,0.951642,2,3,0,104.04,0.536159,0.148752
-101.83,1,0.951642,1,1,0,102.275,0.54487,0.350131
-102.953,0.775717,0.951642,1,3,0,103.107,0.491983,0.351909
-104.654,0.48273,0.951642,2,3,0,105.44,0.58578,0.982187
-103.377,1,0.951642,1,1,0,104.584,0.565233,0.948754
-101.847,1,0.951642,1,3,0,103.114,0.573847,0.411168
-102.396,0.871736,0.951642,2,3,0,102.944,0.601375,0.592886
-102.907,0.872311,0.951642,1,1,0,103.018,0.615506,0.359471
-101.79,0.984851,0.951642,1,3,0,103.031,0.54866,0.368547
-102.594,0.740021,0.951642,1,3,0,102.635,0.566066,0.121758
-101.828,0.97035,0.951642,1,3,0,102.357,0.556614,0.332226
-102.07,0.970656,0.951642,2,3,0,102.166,0.583983,0.660332
-103.121,0.887529,0.951642,2,3,0,103.139,0.612476,0.789022
-102.519,0.828728,0.951642,2,3,0,105.111,0.502156,0.486382
-102.882,0.902252,0.951642,1,1,0,103.031,0.492727,0.608248
-103.041,0.966682,0.951642,2,3,0,103.451,0.497286,0.222989
-102.883,0.997938,0.951642,2,3,0,103.569,0.614002,0.663918
-103.077,0.941846,0.951642,2,3,0,103.652,0.486964,0.577623
-101.731,0.991801,0.951642,1,3,0,103.097,0.557485,0.426664
-101.727,0.945234,0.951642,2,3,0,101.866,0.54704,0.477128
-102.099,0.747393,0.951642,2,3,0,102.546,0.562725,0.220999
-102.625,0.875742,0.951642,2,3,0,103.074,0.545431,0.884073
-104.403,0.8838,0.951642,2,3,0,104.447,0.51104,0.969498
-104.576,0.850094,0.951642,2,3,0,105.107,0.596582,0.0245905
-103.91,0.926754,0.951642,2,3,0,105.155,0.499566,0.927252
-103.237,1,0.951642,2,3,0,104.848,0.528636,0.0712482
-102.16,0.975661,0.951642,2,3,0,103.905,0.55649,0.198569
-101.941,0.980424,0.951642,2,3,0,102.29,0.526671,0.516714
-102.085,0.955267,0.951642,1,1,0,102.126,0.521291,0.609198
-101.797,1,0.951642,1,1,0,102.003,0.537671,0.528419
-101.797,0.508769,0.951642,2,3,0,103.188,0.537671,0.528419
-101.958,0.858267,0.951642,2,3,0,102.544,0.570325,0.70232
-104.966,0.504092,0.951642,1,3,0,105.483,0.657009,0.520125
-102.581,1,0.951642,2,3,0,104.384,0.500143,0.507336
-103.664,0.616409,0.951642,2,3,0,104.258,0.517003,0.943053
-101.863,0.87554,0.951642,1,3,0,103.222,0.546883,0.678932
-102.033,0.978274,0.951642,2,3,0,102.166,0.530595,0.31156
-101.899,0.771399,0.951642,2,3,0,102.756,0.578248,0.417638
-101.899,0.741283,0.951642,1,3,0,103.073,0.578248,0.417638
-101.901,0.995082,0.951642,2,3,0,101.982,0.531846,0.40257
-102.412,0.73851,0.951642,2,3,0,103.337,0.576088,0.82947
-104.667,0.590753,0.951642,2,3,0,105.516,0.486259,0.945905
-101.956,0.906247,0.951642,1,3,0,104.02,0.535787,0.681991
-102.286,0.879333,0.951642,2,3,0,102.646,0.543139,0.17722
-102.58,0.938729,0.951642,1,1,0,102.719,0.553119,0.11859
-102.071,0.977041,0.951642,2,3,0,102.783,0.585439,0.641307
-102.017,0.648118,0.951642,2,3,0,103.685,0.522376,0.520077
-102.388,0.758678,0.951642,2,3,0,102.903,0.587335,0.776308
-102.604,0.97824,0.951642,2,3,0,102.841,0.535934,0.130162
-101.969,0.945405,0.951642,2,3,0,103.301,0.543909,0.274924
-101.957,1,0.951642,2,3,0,102.009,0.550704,0.732822
-102.161,0.980547,0.951642,2,3,0,102.287,0.573109,0.773091
-102.161,0.152839,0.951642,2,3,0,106.287,0.573109,0.773091
-102.075,1,0.951642,2,3,0,102.244,0.56295,0.229029
-103.129,0.69834,0.951642,1,3,0,103.958,0.534414,0.926419
-102.622,1,0.951642,2,3,0,104.259,0.578487,0.137204
-101.713,0.982204,0.951642,2,3,0,102.62,0.553255,0.534231
-101.737,0.704239,0.951642,2,3,0,103.91,0.556226,0.584803
-101.988,0.906194,0.951642,1,1,0,101.992,0.551984,0.746451
-102.619,0.777993,0.951642,2,3,0,103.493,0.567268,0.880556
-102.766,0.987042,0.951642,2,3,0,102.905,0.541199,0.101959
-105.087,0.743494,0.951642,2,3,0,105.808,0.457734,0.159647
-103.067,1,0.951642,1,1,0,104.623,0.488315,0.372572
-104.435,0.673235,0.951642,1,1,0,104.654,0.462993,0.740158
-103.856,0.899415,0.951642,2,3,0,105.407,0.632285,0.757744
-102.37,1,0.951642,1,1,0,103.461,0.601702,0.498776
-104.555,0.272574,0.951642,2,3,0,106.764,0.507453,0.0287546
-101.799,0.947015,0.951642,2,3,0,104.469,0.537358,0.477372
-104.008,0.42491,0.951642,2,3,0,104.752,0.611783,0.072109
-102.746,0.842748,0.951642,2,3,0,105.809,0.495329,0.467348
-102.171,1,0.951642,1,1,0,102.657,0.51715,0.608233
-102.67,0.777943,0.951642,2,3,0,103.552,0.590582,0.168531
-102.128,1,0.951642,2,3,0,102.748,0.580109,0.726638
-106.441,0.267985,0.951642,2,3,0,107.834,0.587672,0.996954
-102.273,0.798625,0.951642,3,7,0,106.407,0.517187,0.312596
-102.243,1,0.951642,1,1,0,102.428,0.52133,0.283691
-102.015,0.971136,0.951642,2,3,0,102.456,0.586817,0.515294
-102.015,0.339872,0.951642,1,3,0,105.811,0.586817,0.515294
-103.301,0.635164,0.951642,2,3,0,104.562,0.595174,0.0911883
-101.867,0.930864,0.951642,2,3,0,103.33,0.534255,0.406782
-102.48,0.840096,0.951642,2,3,0,103.192,0.50423,0.576857
-104.008,0.629413,0.951642,1,1,0,104.063,0.477731,0.828377
-105.077,0.925183,0.951642,2,3,0,106.426,0.627262,0.955233
-104.563,1,0.951642,1,1,0,105.475,0.611527,0.960323
-102.811,1,0.951642,1,1,0,104.299,0.599323,0.815486
-102.798,1,0.951642,2,3,0,103.424,0.552034,0.0927493
-103.098,0.958172,0.951642,2,3,0,103.387,0.520458,0.902597
-102.435,1,0.951642,2,3,0,103.147,0.589187,0.220807
-103.115,0.854311,0.951642,2,3,0,103.612,0.540879,0.0695786
-102.117,0.925946,0.951642,1,3,0,102.986,0.565744,0.220546
-102.671,0.954686,0.951642,2,3,0,102.743,0.509509,0.77592
-103.246,0.859002,0.951642,1,1,0,103.426,0.499919,0.847178
-104.554,0.932178,0.951642,2,3,0,105,0.647845,0.30463
-104.605,1,0.951642,2,3,0,105.345,0.456227,0.61353
-104.605,0.48521,0.951642,1,1,0,107.027,0.456227,0.61353
-103.814,1,0.951642,1,1,0,104.805,0.471759,0.646782
-103.814,0.22568,0.951642,1,3,0,107.373,0.471759,0.646782
-103.074,1,0.951642,1,1,0,103.853,0.488793,0.64881
-103.223,0.9761,0.951642,1,1,0,103.553,0.482887,0.530135
-105.104,0.59578,0.951642,1,1,0,105.244,0.449882,0.301308
-102.103,0.85861,0.951642,1,3,0,106.371,0.588587,0.385013
-105.97,0.259796,0.951642,2,3,0,107.172,0.602994,0.00713934
-105.196,1,0.951642,1,1,0,106.144,0.589169,0.0109935
-101.742,1,0.951642,2,3,0,104.448,0.552261,0.410648
-101.848,0.967573,0.951642,1,3,0,101.864,0.560484,0.324634
-101.813,0.905159,0.951642,2,3,0,102.235,0.550557,0.345538
-101.94,0.941348,0.951642,2,3,0,102.033,0.543638,0.710711
-101.744,1,0.951642,1,1,0,101.871,0.550355,0.587074
