# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = heights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = heights_4.data.R
# init = 2 (Default)
# random
#   seed = 3461681895
# output
#   file = heights_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,mu
# Adaptation terminated
# Step size = 0.946158
# Diagonal elements of inverse mass matrix:
# 0.00138033, 5.68215e-05
-890.729,1,0.946158,2,3,0,893.169,7.94462,154.617
-890.616,1,0.946158,2,3,0,890.757,7.63423,154.482
-890.569,0.999615,0.946158,3,11,0,890.649,7.66468,154.5
-891.745,0.863301,0.946158,2,3,0,891.763,8.20559,154.807
-891.3,0.991142,0.946158,2,3,0,892.02,7.4142,154.41
-891.657,0.924816,0.946158,2,3,0,892.301,8.1882,154.8
-891.471,1,0.946158,1,1,0,891.769,8.1458,154.798
-891.547,0.897373,0.946158,2,3,0,892.895,8.06883,155.022
-890.684,0.962628,0.946158,2,3,0,891.904,7.85531,154.804
-891.057,0.877898,0.946158,2,3,0,891.511,7.53274,154.911
-893.504,0.550361,0.946158,2,3,0,894.533,7.96787,155.597
-890.864,0.826433,0.946158,1,3,0,894.981,7.56573,154.368
-890.577,1,0.946158,2,3,0,890.889,7.85731,154.579
-891.077,0.892986,0.946158,2,3,0,891.211,7.80289,154.168
-891.247,0.979091,0.946158,2,3,0,891.737,8.09781,154.757
-892.205,0.893699,0.946158,2,7,0,892.54,7.24907,154.791
-892.205,0.564802,0.946158,2,7,0,896.135,7.24907,154.791
-892.124,0.948128,0.946158,2,3,0,892.974,8.14329,154.073
-891.119,0.753874,0.946158,2,3,0,895.182,7.73817,155.065
-891.119,0.121231,0.946158,1,3,0,898.955,7.73817,155.065
-890.925,1,0.946158,1,1,0,891.156,7.80898,154.979
-890.925,0.788214,0.946158,1,3,0,892.428,7.80898,154.979
-890.756,1,0.946158,1,1,0,890.925,7.85087,154.864
-890.872,0.933543,0.946158,2,3,0,891.328,7.54327,154.811
-892.163,0.800396,0.946158,2,3,0,892.927,7.52646,153.94
-890.518,1,0.946158,1,3,0,891.997,7.68643,154.602
-890.518,0.658634,0.946158,1,3,0,892.307,7.68643,154.602
-890.648,0.664755,0.946158,2,3,0,893.488,7.76496,154.83
-890.823,0.95353,0.946158,2,3,0,891.121,7.94743,154.784
-891.109,0.981823,0.946158,2,3,0,891.156,8.0691,154.704
-891.024,1,0.946158,2,3,0,891.203,7.46113,154.506
-892.156,0.887043,0.946158,2,3,0,892.265,7.39242,154.082
-892.366,0.965274,0.946158,2,3,0,893.032,8.17208,155.184
-891.195,1,0.946158,2,3,0,892.551,7.89774,154.162
-890.738,1,0.946158,2,3,0,891.212,7.70687,154.327
-892.607,0.556709,0.946158,1,3,0,894.292,8.11989,155.315
-890.914,0.984051,0.946158,2,3,0,892.214,7.69097,154.24
-890.774,1,0.946158,1,1,0,890.93,7.66153,154.326
-890.774,0.358346,0.946158,1,3,0,895.213,7.66153,154.326
-890.807,0.917922,0.946158,2,3,0,891.542,7.76792,154.929
-891.84,0.844403,0.946158,2,3,0,892.129,8.23117,154.436
-891.387,0.987991,0.946158,2,3,0,892.292,7.42328,154.327
-890.57,1,0.946158,2,3,0,891.24,7.79524,154.744
-890.907,0.896253,0.946158,1,3,0,891.246,7.57498,154.328
-891.75,0.651588,0.946158,2,3,0,892.799,7.65149,155.238
-891.853,0.999896,0.946158,2,3,0,892.263,7.82856,155.282
-893.265,0.869482,0.946158,2,3,0,893.548,8.04173,153.693
-890.701,1,0.946158,2,3,0,893.031,7.57947,154.721
-890.993,0.857939,0.946158,1,3,0,891.778,8.04093,154.643
-890.988,0.952673,0.946158,2,3,0,891.626,7.89084,154.965
-890.887,0.907409,0.946158,2,3,0,892.013,7.76176,154.243
-890.692,1,0.946158,2,3,0,890.91,7.65772,154.383
-890.656,1,0.946158,1,1,0,890.716,7.64787,154.421
-890.643,0.917028,0.946158,2,3,0,891.257,7.86058,154.756
-891.557,0.817445,0.946158,2,3,0,891.706,7.84112,154.015
-891.025,0.832806,0.946158,2,3,0,892.463,8.00484,154.836
-891.974,0.941371,0.946158,2,3,0,891.974,8.16524,155.049
-893.541,0.817196,0.946158,2,3,0,894.397,8.51111,154.421
-891.205,0.812101,0.946158,1,3,0,896.24,7.56109,155.011
-891.43,0.856483,0.946158,2,3,0,892.701,8.03577,154.198
-891.667,0.96503,0.946158,2,3,0,892.112,7.41564,154.999
-890.762,0.973193,0.946158,2,3,0,892.053,7.57693,154.429
-891.338,0.919676,0.946158,2,3,0,891.566,7.75217,155.141
-891.397,0.988878,0.946158,1,1,0,891.6,7.78575,155.159
-890.715,1,0.946158,2,3,0,891.388,7.90483,154.453
-890.961,0.880589,0.946158,2,3,0,891.357,7.83883,154.984
-891.546,0.95698,0.946158,2,3,0,891.569,7.88436,155.18
-890.53,1,0.946158,2,3,0,891.479,7.80487,154.556
-890.636,0.964421,0.946158,1,3,0,890.765,7.60693,154.515
-891.137,0.570795,0.946158,2,3,0,894.061,8.08305,154.649
-890.523,0.749472,0.946158,2,3,0,893.579,7.71856,154.524
-891.61,0.783395,0.946158,1,3,0,891.732,7.51355,154.103
-891.109,0.870908,0.946158,2,3,0,893.321,7.96477,154.953
-892.798,0.852695,0.946158,2,3,0,893.147,7.15806,154.529
-892.868,0.979477,0.946158,1,1,0,893.413,7.15384,154.479
-891.469,0.996912,0.946158,2,7,0,893.172,7.99564,155.079
-890.646,0.985789,0.946158,2,3,0,891.553,7.59197,154.663
-890.768,0.909548,0.946158,2,3,0,891.282,7.95716,154.547
-890.674,0.941446,0.946158,2,3,0,891.272,7.58086,154.679
-890.862,0.834749,0.946158,2,3,0,891.78,7.99232,154.533
-890.659,0.919184,0.946158,2,3,0,891.549,7.58618,154.669
-891.338,0.847162,0.946158,2,3,0,891.819,7.85115,155.126
-890.544,1,0.946158,2,3,0,891.197,7.73219,154.485
-890.927,0.923984,0.946158,1,3,0,890.936,7.71139,154.229
-891.056,0.897502,0.946158,2,3,0,891.948,7.71879,155.039
-891.672,0.749143,0.946158,1,3,0,893.2,7.73735,153.975
-892.453,0.898584,0.946158,2,3,0,892.867,8.17673,155.206
-891.202,0.854553,0.946158,2,3,0,894.404,7.71717,154.12
-890.519,0.988257,0.946158,2,3,0,891.284,7.68584,154.617
-890.515,0.994144,0.946158,2,7,0,890.561,7.78774,154.64
-890.51,0.843557,0.946158,2,3,0,891.571,7.77959,154.577
-890.635,0.972955,0.946158,1,3,0,890.649,7.79431,154.403
-890.883,0.948346,0.946158,2,3,0,891.13,7.99747,154.518
-890.501,0.777479,0.946158,2,3,0,892.819,7.72561,154.605
-890.548,0.986698,0.946158,1,3,0,890.579,7.82614,154.661
-890.93,0.892183,0.946158,1,3,0,891.174,7.66572,154.243
-892.061,0.881651,0.946158,2,3,0,892.245,8.25375,154.875
-892.639,0.898645,0.946158,1,1,0,892.833,8.37551,154.787
-892.035,0.907812,0.946158,2,3,0,894.386,7.9693,155.278
-890.534,1,0.946158,2,3,0,891.805,7.7511,154.499
-890.55,0.941045,0.946158,2,3,0,890.952,7.79879,154.711
-892.078,0.811155,0.946158,2,3,0,892.389,8.24148,154.926
-890.541,0.938137,0.946158,2,3,0,892.692,7.6899,154.514
-890.997,0.911894,0.946158,2,3,0,891.265,7.47848,154.462
-890.997,0.835562,0.946158,1,3,0,892.331,7.47848,154.462
-890.917,0.844404,0.946158,2,3,0,892.309,8.01601,154.643
-890.675,1,0.946158,2,3,0,890.968,7.87341,154.442
-890.992,0.878226,0.946158,1,3,0,891.647,7.46567,154.677
-890.912,0.992995,0.946158,2,3,0,891.15,8.00583,154.506
-893.224,0.620401,0.946158,2,3,0,893.812,7.85503,153.643
-891.264,0.884406,0.946158,2,3,0,894.477,7.3967,154.66
-891.21,0.965878,0.946158,2,3,0,891.87,8.10416,154.613
-891.309,0.936855,0.946158,2,3,0,892.11,7.83218,154.091
-890.817,0.999765,0.946158,2,3,0,891.264,7.8465,154.905
-890.885,0.991879,0.946158,2,3,0,890.956,7.59069,154.322
-890.842,1,0.946158,2,3,0,891.022,7.97563,154.726
-890.859,0.931969,0.946158,2,3,0,891.507,7.70055,154.263
-891.816,0.714142,0.946158,2,3,0,892.853,8.24152,154.582
-890.929,1,0.946158,2,3,0,891.917,7.62301,154.943
-893.275,0.623323,0.946158,1,3,0,893.413,7.69218,155.569
-891.159,0.926303,0.946158,2,3,0,894.373,8.04939,154.836
-891.125,1,0.946158,2,3,0,891.327,7.45963,154.405
-890.952,1,0.946158,1,1,0,891.16,7.51347,154.402
-890.761,1,0.946158,1,1,0,890.941,7.54247,154.532
-891.887,0.736943,0.946158,2,3,0,892.314,8.06923,154.062
-891.263,0.997347,0.946158,2,3,0,891.897,7.66493,155.099
-892.641,0.849787,0.946158,2,7,0,892.833,8.25456,154.065
-892.638,1,0.946158,2,3,0,893.181,7.27298,155.066
