# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = MedianAgeDivorce_4.data.R
# init = 2 (Default)
# random
#   seed = 592096659
# output
#   file = MedianAgeDivorce_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50
# Adaptation terminated
# Step size = 0.808854
# Diagonal elements of inverse mass matrix:
# 0.0421085, 0.029444, 0.0102694
-44.6274,0.650431,0.808854,1,3,0,46.9376,9.69422,-0.673854,1.66814,10.2023,10.2697,9.86538,10.8762,9.19152,9.93276,8.65244,9.32629,7.23734,9.46106,9.79799,9.12414,11.6174,9.05675,9.93276,10.1349,10.4045,10.5392,9.79799,9.46106,8.85459,8.04597,9.46106,9.52845,9.86538,10.0001,9.93276,10.1349,9.19152,8.58505,9.86538,8.11335,9.93276,10.2023,9.52845,10.8088,9.73061,8.98937,8.24813,9.46106,10.0001,10.2697,10.2697,11.55,9.12414,9.46106,9.79799,10.4045,9.52845,10.9435
-43.7137,0.897194,0.808854,2,3,0,46.5185,9.58396,-0.826664,1.38858,10.2073,10.2899,9.79393,11.0339,8.96727,9.8766,8.30594,9.1326,6.56994,9.29794,9.71127,8.8846,11.9433,8.80194,9.8766,10.1246,10.4553,10.6206,9.71127,9.29794,8.55394,7.56194,9.29794,9.3806,9.79393,9.95927,9.8766,10.1246,8.96727,8.22327,9.79393,7.64461,9.8766,10.2073,9.3806,10.9513,9.6286,8.71927,7.80994,9.29794,9.95927,10.2899,10.2899,11.8606,8.8846,9.29794,9.71127,10.4553,9.3806,11.1166
-44.6063,0.884392,0.808854,2,3,0,44.9746,9.72483,-0.772692,1.27521,10.3074,10.3847,9.92109,11.0801,9.1484,9.99836,8.53025,9.30294,6.90759,9.45748,9.84382,9.07113,11.9301,8.99386,9.99836,10.2302,10.5392,10.6938,9.84382,9.45748,8.76205,7.83482,9.45748,9.53474,9.92109,10.0756,9.99836,10.2302,9.1484,8.45298,9.92109,7.91209,9.99836,10.3074,9.53474,11.0029,9.76655,8.91659,8.06663,9.45748,10.0756,10.3847,10.3847,11.8528,9.07113,9.45748,9.84382,10.5392,9.53474,11.1574
-44.9496,0.909908,0.808854,4,23,0,45.9898,9.57931,-0.698096,1.29491,10.1057,10.1755,9.75663,10.8038,9.05853,9.82644,8.50006,9.19815,7.03406,9.33777,9.68682,8.98873,11.5717,8.91892,9.82644,10.0359,10.3151,10.4547,9.68682,9.33777,8.70949,7.87177,9.33777,9.40758,9.75663,9.89625,9.82644,10.0359,9.05853,8.43025,9.75663,7.94158,9.82644,10.1057,9.40758,10.734,9.61701,8.84911,8.0812,9.33777,9.89625,10.1755,10.1755,11.5019,8.98873,9.33777,9.68682,10.3151,9.40758,10.8736
-45.4658,0.702549,0.808854,2,3,0,48.638,9.50026,-0.995309,1.27214,10.2507,10.3503,9.75307,11.246,8.75776,9.8526,7.96151,8.95682,5.87136,9.15589,9.65354,8.65823,12.3409,8.5587,9.8526,10.1512,10.5493,10.7484,9.65354,9.15589,8.26011,7.06574,9.15589,9.25542,9.75307,9.95213,9.8526,10.1512,8.75776,7.86198,9.75307,7.16527,9.8526,10.2507,9.25542,11.1465,9.55401,8.45917,7.36433,9.15589,9.95213,10.3503,10.3503,12.2413,8.65823,9.15589,9.65354,10.5493,9.25542,11.3456
-45.6413,0.970943,0.808854,4,23,0,46.7215,10.1047,-0.768397,1.61395,10.6841,10.7609,10.2999,11.4525,9.53151,10.3767,8.91679,9.68519,7.30316,9.83887,10.2231,9.45467,12.2977,9.37783,10.3767,10.6073,10.9146,11.0683,10.2231,9.83887,9.14731,8.22524,9.83887,9.91571,10.2999,10.4536,10.3767,10.6073,9.53151,8.83995,10.2999,8.30208,10.3767,10.6841,9.91571,11.3757,10.1462,9.30099,8.45576,9.83887,10.4536,10.7609,10.7609,12.2209,9.45467,9.83887,10.2231,10.9146,9.91571,11.5293
-43.8698,0.960534,0.808854,2,3,0,46.183,9.5642,-0.942804,1.4025,10.2751,10.3694,9.80367,11.2179,8.86087,9.89795,8.10662,9.04943,6.12674,9.23799,9.70939,8.76659,12.255,8.67231,9.89795,10.1808,10.5579,10.7465,9.70939,9.23799,8.38946,7.2581,9.23799,9.33227,9.80367,9.99223,9.89795,10.1808,8.86087,8.01234,9.80367,7.35238,9.89795,10.2751,9.33227,11.1236,9.61511,8.57803,7.54094,9.23799,9.99223,10.3694,10.3694,12.1607,8.76659,9.23799,9.70939,10.5579,9.33227,11.3122
