# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = MedianAgeDivorce_3.data.R
# init = 2 (Default)
# random
#   seed = 2734688122
# output
#   file = MedianAgeDivorce_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma
# Adaptation terminated
# Step size = 0.742088
# Diagonal elements of inverse mass matrix:
# 0.0540061, 0.0449357, 0.0111512
-47.8324,0.913364,0.742088,3,7,0,50.9384,9.35731,-0.598156,1.81054
-47.0829,0.980412,0.742088,2,3,0,49.0076,9.30367,-0.804997,1.81129
-44.5862,0.909047,0.742088,2,5,0,48.2725,9.42607,-0.931937,1.53274
-47.3741,0.466839,0.742088,2,3,0,52.2483,9.2239,-0.971502,1.82722
-44.6296,1,0.742088,2,3,0,47.4633,9.69855,-0.908907,1.68054
-45.4709,0.897014,0.742088,2,3,0,46.7525,9.56179,-0.65903,1.5364
-44.8923,0.968882,0.742088,3,7,0,46.5042,9.53497,-1.30773,1.40376
-45.0865,0.871781,0.742088,2,3,0,46.8259,9.76812,-1.2876,1.31907
-44.0833,0.995776,0.742088,3,15,0,45.3389,9.49044,-1.05477,1.4622
-44.0584,0.996589,0.742088,3,15,0,44.3966,9.88008,-1.02351,1.4854
-43.8917,0.989407,0.742088,4,23,0,44.3792,9.54093,-1.01031,1.48237
-44.848,0.933605,0.742088,2,7,0,44.949,9.91623,-0.971521,1.3369
-47.3756,0.774468,0.742088,2,3,0,48.2619,9.92137,-0.651875,1.31134
-44.2086,1,0.742088,2,3,0,47.128,9.70619,-0.896221,1.36005
-45.1645,0.865053,0.742088,2,3,0,45.84,9.48337,-0.77102,1.41275
-46.0342,0.871127,0.742088,2,3,0,47.5965,10.0587,-0.865337,1.37995
-45.5476,1,0.742088,2,3,0,46.6336,10.0017,-1.0028,1.3259
-44.9147,1,0.742088,2,3,0,45.6603,9.99263,-0.995705,1.4035
-44.2175,1,0.742088,2,3,0,45.0789,9.46596,-1.01911,1.4527
-44.0015,1,0.742088,2,3,0,44.3662,9.53653,-1.09471,1.41239
-44.4679,0.923401,0.742088,2,3,0,44.9887,9.43094,-0.960085,1.50504
-43.979,0.998325,0.742088,3,15,0,44.7183,9.64016,-0.952086,1.37203
-44.0281,0.977812,0.742088,2,3,0,44.4194,9.73445,-0.863949,1.46264
-44.9835,0.867497,0.742088,3,7,0,46.5682,9.64069,-1.32582,1.35951
-44.1314,0.984406,0.742088,2,3,0,45.3952,9.68315,-1.24246,1.50398
-44.3404,0.753056,0.742088,2,3,0,48.2778,9.78226,-0.837154,1.41354
-44.6578,0.897569,0.742088,2,3,0,45.7303,9.65022,-0.949413,1.28763
-44.2085,0.996365,0.742088,3,7,0,45.1239,9.72082,-1.23253,1.39328
-44.6797,0.857254,0.742088,2,3,0,45.9276,9.46528,-1.0263,1.34404
-48.4276,0.709761,0.742088,2,3,0,48.6651,9.28695,-1.18158,1.2187
-46.2882,1,0.742088,1,1,0,48.1264,9.39833,-1.1441,1.25851
-44.3325,1,0.742088,2,3,0,46.4007,9.86292,-1.21119,1.50068
-46.236,0.886341,0.742088,2,7,0,46.6261,9.37259,-1.09577,1.27124
-45.487,0.935104,0.742088,3,7,0,48.1112,9.69645,-0.660383,1.42929
-45.442,0.778584,0.742088,3,7,0,48.8352,9.86641,-1.39025,1.54165
-44.061,1,0.742088,2,3,0,45.5825,9.60384,-0.919159,1.38856
-44.5931,0.891453,0.742088,2,3,0,45.2704,9.78302,-0.863095,1.34426
-44.7208,0.980714,0.742088,4,27,0,45.5834,9.8124,-0.772689,1.44071
-48.5469,0.677035,0.742088,3,15,0,49.5433,9.7392,-1.34518,2.01724
-46.7046,1,0.742088,2,3,0,49.2629,9.75731,-1.4518,1.75897
-45.4963,0.904814,0.742088,2,3,0,49.2132,10.0318,-1.14063,1.65082
-45.5618,0.940369,0.742088,2,7,0,47.0454,9.58801,-0.647122,1.58157
-46.6572,0.942282,0.742088,3,7,0,47.7632,9.92759,-1.43571,1.36846
-46.8123,0.982863,0.742088,3,7,0,48.7989,9.72037,-0.509667,1.6232
-47.7675,0.905838,0.742088,3,7,0,50.0743,10.0506,-1.52671,1.52014
-46.8183,0.995136,0.742088,2,7,0,49.2845,10.1741,-1.24547,1.62358
-49.2959,0.867065,0.742088,3,7,0,51.9054,9.70194,-0.466588,1.30999
-46.886,1,0.742088,2,3,0,49.5779,9.48458,-0.621409,1.36607
-46.6016,0.804151,0.742088,3,7,0,50.7405,10.102,-0.959853,1.33183
-44.9231,1,0.742088,2,3,0,47.2447,9.44714,-0.80973,1.47746
-44.5752,0.95835,0.742088,4,23,0,46.3516,9.94285,-1.13605,1.55221
-45.3964,0.945822,0.742088,3,7,0,46.1844,9.87142,-1.34178,1.37965
-45.098,1,0.742088,2,3,0,45.5556,9.891,-1.29732,1.39311
-45.2577,0.987513,0.742088,3,11,0,45.7844,9.46277,-0.754674,1.5916
-44.8574,0.962427,0.742088,4,23,0,46.4537,9.43726,-1.24933,1.48199
-46.2001,0.828461,0.742088,4,31,0,48.1334,9.33388,-1.3337,1.43678
-43.7136,0.876623,0.742088,2,3,0,47.7396,9.75652,-1.08853,1.44267
-44.5607,0.872011,0.742088,4,15,0,45.1509,9.49531,-1.16178,1.60586
-45.395,0.933165,0.742088,3,7,0,46.3248,9.70136,-0.652981,1.57084
-45.4553,0.988414,0.742088,3,7,0,45.909,9.72102,-1.41821,1.41743
-44.8731,0.956985,0.742088,2,3,0,46.7561,10.0022,-1.068,1.42615
-44.0645,1,0.742088,2,3,0,45.1084,9.83288,-1.15956,1.50731
-44.102,0.975957,0.742088,2,3,0,44.5128,9.88873,-1.01931,1.49146
-47.2916,0.783889,0.742088,3,7,0,47.3251,10.2516,-0.894688,1.57466
-44.0959,0.978958,0.742088,3,7,0,47.3823,9.66984,-1.14622,1.59203
-44.0244,0.999231,0.742088,3,11,0,44.301,9.63825,-1.00101,1.34814
-44.9713,0.855782,0.742088,2,3,0,45.3899,10.0191,-1.04929,1.56721
-44.5413,0.99899,0.742088,2,7,0,45.0877,9.44397,-1.13427,1.40955
-43.9643,0.623145,0.742088,2,3,0,49.1486,9.78197,-1.07166,1.56903
-46.9795,0.789333,0.742088,3,7,0,47.226,10.112,-0.735325,1.43832
-46.5548,1,0.742088,3,11,0,47.5482,9.31996,-1.38879,1.49826
-47.5614,0.953907,0.742088,2,3,0,48.1929,10.052,-0.651271,1.38572
-45.9605,0.85909,0.742088,2,3,0,50.2,9.50818,-1.4291,1.61769
-47.8437,0.923721,0.742088,2,3,0,48.0643,9.56502,-1.62075,1.67798
-45.2056,0.908518,0.742088,3,7,0,51.3873,9.91217,-0.747978,1.55252
-45.5843,0.887834,0.742088,2,3,0,47.7619,9.86374,-0.924087,1.77539
-46.0542,0.930864,0.742088,2,3,0,47.1731,9.6876,-1.10858,1.85244
-46.449,0.866669,0.742088,2,3,0,50.0364,10.1096,-1.11463,1.34964
-46.4972,1,0.742088,2,7,0,47.8521,10.1135,-1.29604,1.46688
-44.597,1,0.742088,2,3,0,46.6275,9.41415,-0.997837,1.5544
-43.9923,0.850932,0.742088,4,23,0,47.2725,9.83895,-1.12417,1.5007
-43.6954,0.76752,0.742088,2,3,0,46.6771,9.68048,-0.994387,1.42086
-44.0007,0.945186,0.742088,2,3,0,44.2397,9.60425,-0.968597,1.57438
-44.5619,0.878762,0.742088,2,3,0,45.4799,9.86354,-0.92772,1.62976
-45.0544,0.937922,0.742088,4,23,0,45.9268,9.89917,-0.774045,1.44317
-48.4553,0.724946,0.742088,2,7,0,48.7481,9.5344,-1.6417,1.74504
-47.5489,0.992663,0.742088,3,7,0,50.4552,9.80515,-0.510725,1.40682
-46.3255,0.997314,0.742088,4,23,0,49.1876,9.87098,-0.890156,1.22657
-45.2364,0.742505,0.742088,2,3,0,49.0438,9.54392,-1.07565,1.75034
-44.0958,1,0.742088,2,3,0,45.3318,9.55369,-1.1352,1.5546
-43.7552,0.936857,0.742088,1,3,0,44.8471,9.7927,-1.05387,1.47298
-43.9419,0.980535,0.742088,2,3,0,44.0356,9.60351,-0.928852,1.53409
-44.3702,0.834391,0.742088,1,3,0,45.7438,9.94072,-1.03771,1.50451
-43.8017,1,0.742088,2,3,0,44.3871,9.60505,-0.986079,1.41655
-45.9407,0.745439,0.742088,2,3,0,46.4141,9.86932,-0.727759,1.33892
-45.0284,0.916838,0.742088,3,7,0,47.9073,9.49911,-1.32841,1.45872
-44.8313,0.532469,0.742088,2,3,0,51.5995,9.55951,-1.1304,1.69334
-44.5155,0.991325,0.742088,5,55,0,45.3441,9.53376,-0.883228,1.37048
-44.1222,0.984789,0.742088,5,55,0,44.9373,9.84876,-1.0963,1.55818
-43.7912,0.851787,0.742088,3,7,0,45.8066,9.80639,-1.05913,1.46323
-45.325,0.616264,0.742088,3,7,0,48.4344,9.42544,-1.20846,1.66699
-47.9693,0.851773,0.742088,2,3,0,48.579,9.43047,-1.59124,1.67367
-45.2545,0.971449,0.742088,2,3,0,49.7612,9.96632,-1.20368,1.64365
-44.9459,0.992479,0.742088,3,7,0,46.3495,9.93098,-0.939491,1.65609
-45.4101,0.982112,0.742088,2,3,0,45.5641,10.0181,-0.870202,1.62083
-46.0564,0.982613,0.742088,2,3,0,46.1848,10.0901,-0.915035,1.68248
-47.2216,0.899538,0.742088,2,3,0,48.2246,10.2034,-0.818222,1.48519
-47.9614,0.932797,0.742088,3,11,0,51.046,9.07255,-1.09709,1.48725
-50.4579,0.830572,0.742088,2,3,0,51.031,8.95669,-0.993578,1.40951
-47.6541,1,0.742088,1,1,0,50.3422,9.13382,-1.06455,1.39854
-46.3566,1,0.742088,1,1,0,47.6263,9.21572,-1.09302,1.44005
-46.286,0.992284,0.742088,2,7,0,47.1777,9.27522,-1.22461,1.40342
-44.4665,1,0.742088,2,3,0,46.363,9.47909,-1.18697,1.54319
-44.4665,0.712952,0.742088,2,3,0,47.5694,9.47909,-1.18697,1.54319
-44.9055,0.951733,0.742088,2,3,0,45.4277,9.47858,-1.23108,1.61723
-44.8197,0.997496,0.742088,3,11,0,45.2624,9.79088,-0.821507,1.34877
-45.6456,0.623145,0.742088,2,3,0,49.0533,9.89778,-1.00706,1.2528
-43.9315,1,0.742088,2,3,0,45.843,9.67235,-0.882641,1.48869
-44.6536,0.931939,0.742088,4,27,0,45.2166,9.54294,-1.27118,1.39824
-43.8693,0.770482,0.742088,2,3,0,47.3374,9.66777,-0.987457,1.56396
-47.2173,0.728732,0.742088,2,3,0,47.4969,9.61716,-0.826086,1.18226
-48.4058,0.614514,0.742088,2,3,0,51.6861,9.44142,-1.26774,1.99945
-46.3344,1,0.742088,3,7,0,49.7317,9.23992,-0.839204,1.50703
-45.6762,1,0.742088,2,3,0,46.8221,9.35532,-0.824245,1.41542
-47.2382,0.803814,0.742088,2,3,0,50.5422,10.0817,-1.44477,1.50386
-44.6683,1,0.742088,2,3,0,47.4629,9.44372,-1.10407,1.60675
-43.9219,0.851183,0.742088,1,3,0,46.8252,9.84477,-1.0275,1.44979
-45.6479,0.786337,0.742088,2,3,0,46.1732,9.48977,-1.02686,1.78402
-45.9023,0.99005,0.742088,4,31,0,46.7136,9.86695,-1.10903,1.81179
-44.5297,1,0.742088,2,3,0,46.2633,9.93333,-0.90552,1.49619
-44.4652,1,0.742088,1,1,0,44.6279,9.92168,-0.90689,1.50139
-43.7155,0.966603,0.742088,4,23,0,45.2375,9.69461,-1.11364,1.49727
-44.0629,0.959067,0.742088,2,3,0,44.227,9.6231,-0.8685,1.43948
-45.8485,0.838147,0.742088,2,3,0,46.7407,9.40776,-0.696823,1.55967
-45.1617,0.95893,0.742088,2,7,0,46.8968,10.0195,-1.09594,1.39778
-44.2077,0.965805,0.742088,3,7,0,45.9608,9.48021,-1.0876,1.52715
-43.8081,1,0.742088,2,3,0,44.345,9.56864,-1.05933,1.44158
-46.3839,0.610074,0.742088,1,3,0,48.6748,9.23822,-0.880844,1.65528
-47.3288,0.945183,0.742088,3,11,0,47.7123,9.21233,-0.922432,1.8027
-44.3901,0.876295,0.742088,3,7,0,49.5568,9.91452,-1.14243,1.43216
-45.1008,0.903233,0.742088,2,3,0,46.287,9.40757,-0.829781,1.45506
-45.1681,0.95792,0.742088,2,3,0,46.421,9.67704,-0.677336,1.54809
-45.1158,0.955678,0.742088,5,39,0,46.1831,9.81507,-0.705927,1.48856
-45.0087,0.823526,0.742088,3,7,0,47.5672,9.51141,-1.26904,1.35622
-44.3427,0.957095,0.742088,2,3,0,46.1616,9.91163,-1.03149,1.56131
-43.8867,0.997172,0.742088,2,7,0,44.4439,9.62836,-0.916883,1.51209
-44.5575,0.936831,0.742088,4,27,0,45.0866,9.51565,-0.898962,1.61756
-44.9506,0.948073,0.742088,3,7,0,45.815,9.53856,-1.33972,1.52177
-48.325,0.745927,0.742088,2,3,0,49.2434,9.13214,-1.38982,1.62812
-45.4381,0.933092,0.742088,3,7,0,49.1318,9.99483,-0.834272,1.41051
-45.0941,0.995334,0.742088,4,19,0,46.0449,9.60996,-1.25978,1.6878
-45.6142,0.980685,0.742088,4,23,0,46.186,9.94069,-1.20992,1.71747
-43.9103,0.995531,0.742088,2,7,0,45.5795,9.80243,-0.94257,1.50022
-43.9676,0.997389,0.742088,3,7,0,44.1552,9.55418,-1.13603,1.43282
-44.1292,0.959056,0.742088,2,3,0,44.5191,9.51768,-1.15914,1.48442
-45.4844,0.666241,0.742088,2,3,0,48.8011,10.0503,-0.959295,1.40043
-44.8811,0.91584,0.742088,2,7,0,47.0123,9.62926,-1.1337,1.26663
-44.1284,0.995411,0.742088,2,7,0,45.2759,9.72247,-1.23915,1.50354
-44.4908,0.764298,0.742088,3,15,0,47.6676,9.71815,-0.787889,1.56218
-43.8331,0.864556,0.742088,1,3,0,46.7019,9.65059,-1.16271,1.43515
-45.7213,0.827321,0.742088,3,7,0,46.002,9.48039,-0.930251,1.26072
-43.8223,0.904952,0.742088,2,3,0,46.6404,9.7131,-1.14893,1.41466
-44.4392,0.785065,0.742088,3,7,0,46.0125,9.69522,-0.858549,1.62603
-44.0218,0.87332,0.742088,3,7,0,46.3699,9.60976,-1.19729,1.42683
-44.1343,0.967234,0.742088,2,3,0,44.5383,9.74786,-1.21679,1.40241
-43.9119,0.756156,0.742088,3,7,0,46.6088,9.77261,-1.09725,1.55288
-45.6646,0.882874,0.742088,2,3,0,45.7838,9.57882,-1.42283,1.60461
-44.1721,0.997115,0.742088,2,3,0,46.0505,9.59006,-0.851806,1.50638
-44.5753,0.758905,0.742088,2,3,0,47.4887,9.77936,-1.18896,1.31881
-43.907,0.944951,0.742088,2,3,0,45.3695,9.60974,-0.914035,1.50119
-44.0598,0.902995,0.742088,3,7,0,44.9855,9.76696,-1.21598,1.4594
-44.6206,0.965671,0.742088,5,39,0,44.7599,9.78251,-0.764349,1.49331
-43.9896,0.988599,0.742088,5,55,0,45.0787,9.78776,-0.97523,1.56638
-44.1666,0.981192,0.742088,2,7,0,44.5001,9.85803,-1.16101,1.4324
-44.2386,0.9791,0.742088,4,19,0,44.7253,9.91814,-1.02817,1.47562
-44.9784,0.917248,0.742088,5,47,0,45.5609,9.81117,-1.26507,1.65396
-44.4743,0.997017,0.742088,2,3,0,45.4775,9.91433,-1.17842,1.52269
-45.6004,0.830961,0.742088,2,3,0,46.9996,9.7206,-1.41326,1.37976
-45.6738,0.995579,0.742088,3,7,0,46.6512,9.94699,-0.742881,1.6459
-46.5724,0.899406,0.742088,3,7,0,47.4903,9.40978,-1.46708,1.53455
-49.8474,0.827929,0.742088,2,3,0,50.5559,9.52949,-1.76727,1.52504
-46.9728,1,0.742088,2,3,0,50.1253,9.78126,-1.57419,1.52793
-47.0207,0.998154,0.742088,1,1,0,47.4451,9.77739,-1.57908,1.5324
-44.8552,0.973688,0.742088,2,3,0,47.4641,9.60341,-0.759294,1.40364
-44.2424,1,0.742088,3,7,0,44.8353,9.73606,-1.25741,1.51307
-44.7117,0.964593,0.742088,4,19,0,45.0344,9.69126,-0.745236,1.55703
-44.7722,0.978332,0.742088,2,3,0,45.4521,9.46002,-0.872893,1.6
-43.8408,1,0.742088,2,3,0,44.8098,9.64149,-0.917843,1.45177
-44.9392,0.908861,0.742088,4,23,0,45.3002,9.53513,-0.741708,1.53241
-47.0959,0.848082,0.742088,3,15,0,48.0818,9.31596,-1.20448,1.83236
-44.1811,0.994915,0.742088,3,7,0,47.1006,9.78841,-1.16583,1.36608
-45.0041,0.936338,0.742088,4,23,0,45.1605,9.41021,-0.892677,1.6117
-43.9441,1,0.742088,2,3,0,45.1003,9.849,-1.00218,1.47627
-45.6639,0.595827,0.742088,3,15,0,49.4423,9.99167,-1.23248,1.67495
-43.8728,0.895797,0.742088,1,3,0,47.3208,9.63668,-1.01743,1.56439
-44.4847,0.951726,0.742088,2,3,0,44.6082,9.5704,-0.929316,1.64474
-44.0789,0.996301,0.742088,3,15,0,44.8159,9.53732,-0.963958,1.40383
-45.9097,0.768999,0.742088,2,3,0,46.3954,9.80122,-1.32438,1.7494
