# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = m12.6.1_3.data.R
# init = 2 (Default)
# random
#   seed = 2734807186
# output
#   file = m12.6.1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bp,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,sigma_society
# Adaptation terminated
# Step size = 0.0502079
# Diagonal elements of inverse mass matrix:
# 0.571049, 0.00682193, 0.0584595, 0.050494, 0.0388204, 0.0375115, 0.0305913, 0.0452662, 0.0287638, 0.0354526, 0.0323326, 0.0898075, 0.171047
929.938,0.999122,0.0502079,6,63,0,-918.854,0.677694,0.318647,-0.352267,-0.0311655,-0.154171,0.0829872,-0.110548,-0.36191,0.239811,-0.0368954,0.13682,-0.376457,0.234662
927.959,0.975136,0.0502079,6,63,0,-924.086,1.40671,0.238906,0.0281362,-0.297485,-0.200911,0.42375,-0.0359151,-0.332996,0.0182829,-0.562648,0.289459,-0.129198,0.306237
924.577,0.916434,0.0502079,6,63,0,-917.685,-0.0384034,0.389587,-0.549859,-0.285744,0.149981,0.353571,0.124574,-0.59801,0.213986,-0.0956199,0.117423,-0.549422,0.42814
929.804,0.977848,0.0502079,6,63,0,-921.345,1.21027,0.250081,-0.160065,0.347889,-0.222363,0.418435,0.159211,-0.256838,0.114965,-0.324723,0.26557,-0.209713,0.244142
928.293,0.998221,0.0502079,6,63,0,-923.336,0.0256124,0.385289,0.0949054,-0.207316,-0.123958,0.19268,0.184009,-0.346886,0.164539,-0.320349,0.210507,-0.460389,0.252742
928.519,0.889497,0.0502079,5,63,0,-922.828,1.09028,0.260116,-0.696982,0.130655,0.0133222,0.457072,-0.0537667,-0.366401,0.0127057,-0.240082,0.143549,-0.0850652,0.370754
925.29,0.945835,0.0502079,6,63,0,-917.422,1.34143,0.245639,0.183547,-0.493112,-0.0883414,0.281004,0.00649886,-0.431134,0.280832,-0.148841,0.31634,-0.0529862,0.290342
928.988,0.883999,0.0502079,6,63,0,-921.34,1.11892,0.244029,-0.372624,-0.131446,-0.123786,0.398582,-0.00120216,-0.042309,0.262147,-0.207145,0.318562,-0.033659,0.268184
929.709,0.996991,0.0502079,6,63,0,-924.942,1.7109,0.186842,0.0219694,0.054044,-0.14579,0.403018,0.338156,-0.235915,0.170322,-0.0691022,0.426345,0.310761,0.250983
932.93,0.999665,0.0502079,6,63,0,-926.763,0.780256,0.295862,-0.287794,0.101036,-0.0551548,0.246171,-0.0146057,-0.230727,0.210682,-0.0893648,0.275531,-0.278622,0.26574
928.446,0.994592,0.0502079,5,31,0,-927.123,0.442089,0.338571,-0.509905,0.163058,-0.119249,0.30091,-0.0614021,-0.0693244,0.20111,-0.126832,0.0956084,-0.319211,0.192413
927.116,0.945646,0.0502079,6,63,0,-920.455,1.37644,0.224141,0.195051,-0.00121803,0.0665545,0.367337,0.149629,-0.49899,0.0318362,-0.18887,0.405764,0.295312,0.254588
923.663,0.987302,0.0502079,6,63,0,-915.176,2.10046,0.13908,0.0563317,0.101942,0.0273268,0.18241,0.478058,-0.308677,0.361986,-0.0215959,0.266063,0.19433,0.235105
928.673,0.999979,0.0502079,5,31,0,-921.905,1.90104,0.157371,-0.137303,-0.0698799,-0.0578971,0.212653,0.396478,-0.258275,0.314047,-0.0503412,0.354195,0.419864,0.272966
925.482,0.932277,0.0502079,6,63,0,-920.82,2.01153,0.157239,0.120865,-0.366357,-0.00179382,0.341515,0.105889,-0.0193306,0.0812267,-0.0241644,0.456168,0.213265,0.351899
930.225,0.953337,0.0502079,6,63,0,-918.504,1.55018,0.215413,-0.181904,0.0805478,-0.32253,0.220607,0.177508,-0.459771,0.270638,-0.178776,0.219032,0.157981,0.238367
932.691,0.948677,0.0502079,5,63,0,-926.327,1.35751,0.238595,-0.136097,0.0506378,-0.198041,0.348616,-0.0322732,-0.312115,0.191673,-0.074319,0.1946,0.0438536,0.259139
929.133,0.589125,0.0502079,5,63,0,-925.348,1.20385,0.239171,-0.282203,0.00575932,-0.105072,0.262119,0.0729153,-0.256901,0.0487932,-0.244856,0.249688,-0.15759,0.15564
927.7,0.947581,0.0502079,6,63,0,-922.893,0.45238,0.327448,0.131937,0.156315,0.0611064,0.297384,-0.196022,-0.242315,0.132881,-0.0786168,0.119318,-0.474081,0.28651
926.598,0.950818,0.0502079,5,31,0,-923.862,0.483858,0.347331,0.0614555,0.109103,0.0637298,0.332691,-0.228904,-0.293856,0.184857,-0.0260324,0.076853,-0.599646,0.264643
922.174,0.929802,0.0502079,6,127,0,-913.782,1.65815,0.209009,-0.363792,-0.260381,-0.0173438,0.463425,0.0299744,-0.379427,0.385606,-0.259909,-0.0611844,0.286311,0.272303
926.383,1,0.0502079,6,63,0,-916.977,1.70325,0.200012,-0.411769,-0.153383,-0.106567,0.227086,-0.174833,-0.0250575,0.241185,-0.308725,0.551792,0.0241526,0.416194
930.137,0.999999,0.0502079,6,63,0,-920.072,1.40139,0.232176,-0.294286,-0.287139,-0.140717,0.352374,-0.0608477,-0.451782,0.0619187,-0.0258753,0.217471,0.119297,0.208999
930.091,0.68409,0.0502079,6,63,0,-921.926,1.20524,0.258216,-0.211266,0.162983,-0.0103885,0.16581,0.0837731,-0.222695,-0.016523,0.111667,0.27625,-0.0758105,0.240741
930.51,0.998464,0.0502079,5,63,0,-923.97,1.53623,0.223495,-0.174541,0.0400443,0.129985,0.0279297,0.0860986,-0.0574325,-0.0345076,0.000861157,0.142685,-0.0202912,0.168972
931.49,0.998902,0.0502079,6,95,0,-927.085,1.86725,0.166523,-0.0996589,-0.0259062,0.112108,0.227548,0.0466874,-0.157535,0.130492,-0.0792701,0.323826,0.218245,0.131908
931.964,0.984979,0.0502079,6,63,0,-926.432,0.848892,0.287579,-0.306153,-0.02294,-0.299732,0.319796,0.0318968,-0.33887,0.13841,-0.187878,0.235349,-0.110346,0.28459
927.785,0.999123,0.0502079,6,63,0,-924.991,1.43248,0.221484,-0.267132,-0.117618,0.190939,0.381231,0.120158,-0.701039,-0.0589263,-0.187943,0.222514,0.134046,0.342398
925.041,0.996736,0.0502079,6,63,0,-921.517,1.24057,0.263775,-0.418185,-0.289674,0.120858,0.173164,0.211061,-0.724534,0.018606,-0.0362259,0.0818228,-0.337978,0.301304
929.048,0.999683,0.0502079,6,63,0,-921.394,0.845038,0.29007,-0.312475,-0.181997,0.00364447,0.246127,0.253987,-0.444229,0.175367,-0.0127909,0.19139,-0.11468,0.373095
926.958,0.802712,0.0502079,6,63,0,-921.567,0.994328,0.277074,-0.328642,-0.230107,-0.210847,0.23566,0.356182,-0.29008,0.144995,-0.364264,0.331955,-0.344707,0.387602
929.194,0.973076,0.0502079,6,63,0,-920.874,1.53662,0.227349,-0.359815,-0.348751,-0.22353,0.234395,0.23068,-0.263903,0.0537755,-0.211754,0.0703036,-0.0516381,0.272653
930.168,0.994607,0.0502079,6,63,0,-925.609,0.969792,0.284157,-0.0687077,0.0727288,-0.214469,0.208721,-0.268129,-0.311145,-0.0597979,-0.401527,0.241545,-0.248796,0.206402
927.211,0.966562,0.0502079,6,63,0,-917.217,1.37266,0.229313,-0.052825,0.130291,-0.131203,0.402919,-0.146559,-0.125782,-0.240364,-0.180454,0.352305,-0.0997956,0.29646
928.819,0.999646,0.0502079,5,63,0,-921.928,0.706765,0.31344,-0.528325,0.0219997,0.119074,0.417438,0.0969533,-0.421495,0.301331,-0.17891,0.0838135,-0.29103,0.253077
926.269,1,0.0502079,6,63,0,-921.167,1.54521,0.199935,0.212791,0.0795261,-0.114512,0.432135,0.336472,-0.0703569,0.0413677,0.0372768,0.594028,0.235868,0.277597
928.926,0.963125,0.0502079,6,127,0,-923.44,0.549853,0.332269,-0.494146,0.111539,0.0837522,0.321985,-0.109781,-0.439239,0.358506,-0.265021,0.0925698,-0.388231,0.288584
930.793,0.995194,0.0502079,6,63,0,-924.857,0.749382,0.302801,-0.293316,0.17262,-0.250441,0.40561,0.0651534,-0.432706,-0.0566421,-0.319209,0.313075,-0.32431,0.342604
928.338,0.989731,0.0502079,6,63,0,-925.709,0.487747,0.351242,-0.253349,-0.354059,-0.022418,0.23999,-0.180088,-0.418624,0.125202,-0.320848,-0.000689803,-0.509371,0.307238
931.403,1,0.0502079,6,63,0,-923.786,0.483878,0.330697,-0.077568,0.178481,-0.108722,0.309656,0.247947,-0.213819,0.233755,-0.341039,0.229217,-0.211937,0.245145
927.511,0.828947,0.0502079,6,63,0,-922.885,1.18287,0.236864,-0.0675019,-0.0999006,0.251933,0.304943,0.286995,-0.167593,0.146936,-0.0308238,0.345865,-0.186241,0.211939
928.559,0.89894,0.0502079,6,63,0,-921.097,1.14039,0.253937,-0.255109,-0.0922068,-0.122283,0.1983,0.227257,-0.0656038,0.226524,0.070113,0.224724,0.17513,0.157204
931.049,0.953656,0.0502079,6,63,0,-924.422,1.1176,0.26993,-0.144571,0.0638031,0.0395989,0.0682214,-0.208743,-0.50756,0.00500133,-0.293704,0.150694,-0.234265,0.210773
931.311,0.99194,0.0502079,6,63,0,-924.977,0.882538,0.276352,-0.071913,0.0191242,-0.100252,0.583972,0.211325,-0.106073,0.216964,-0.0746634,0.203001,-0.00582517,0.25763
928.661,0.959881,0.0502079,6,63,0,-925.622,0.850151,0.300477,-0.184293,-0.0585058,0.0970212,-0.0819965,0.0344384,-0.501763,0.0250552,-0.303034,0.281459,-0.305891,0.205337
930.207,0.886264,0.0502079,6,63,0,-922.367,0.798484,0.29421,-0.0775361,-0.095411,-0.018021,0.351103,-0.0254367,-0.349346,-0.184871,-0.195216,0.228365,-0.160294,0.304229
932.082,0.805665,0.0502079,6,63,0,-923.884,1.11906,0.263569,-0.187938,0.168408,0.0934905,0.384161,-0.0981753,-0.104421,0.0460475,-0.0302308,0.248431,-0.105963,0.163643
