# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = m12.6_2.data.R
# init = 2 (Default)
# random
#   seed = 2734546146
# output
#   file = m12.6_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,bp,sigma_society,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10
# Adaptation terminated
# Step size = 0.0469778
# Diagonal elements of inverse mass matrix:
# 0.594587, 0.0558449, 0.0494762, 0.0360941, 0.0328738, 0.0268775, 0.0409666, 0.0261913, 0.0287626, 0.025876, 0.0794083, 0.00694724, 0.151162
-37.8349,0.804689,0.0469778,5,31,0,41.9494,1.67948,-0.255262,0.105944,-0.167438,0.220657,-0.0599315,-0.0293685,0.243412,-0.0857707,0.0703077,0.196342,0.203573,0.177218,-2.78933,-2.86087,-2.51145,-3.18107,-2.73441,-5.6751,-2.94012,-3.12639,-4.74237,-4.04557
-38.4461,0.740892,0.0469778,6,63,0,47.1447,0.189754,0.0600771,-0.001393,0.0410162,0.243541,0.143469,-0.424052,0.0682912,-0.103126,0.448565,-0.258876,0.348164,0.259798,-2.31048,-3.71382,-2.61918,-5.51217,-2.73069,-2.41864,-3.94558,-2.62725,-2.95354,-3.08115
-39.2755,0.997509,0.0469778,6,63,0,43.3719,1.09305,-0.508548,0.138643,-0.151548,0.641035,0.19468,-0.300171,0.0560984,-0.150569,0.208347,0.0340904,0.263224,0.357971,-2.32455,-2.51674,-2.58826,-3.75619,-2.9909,-2.86378,-3.12578,-2.74398,-3.39828,-4.02582
-39.2278,0.999325,0.0469778,6,127,0,46.6551,1.21544,-0.356347,0.1495,0.098431,0.629581,0.393826,-0.36662,0.105351,-0.254812,0.343649,0.147621,0.241873,0.332967,-2.20875,-2.48866,-2.68065,-3.20276,-3.96479,-2.4551,-3.25429,-2.6761,-3.11798,-3.67562
-37.4465,0.900413,0.0469778,6,127,0,44.9616,0.358119,-0.113087,0.19208,0.221746,0.435097,0.146914,-0.291989,0.209694,-0.411604,0.14245,-0.322243,0.339976,0.404481,-2.23247,-2.50036,-2.95243,-2.95909,-2.69315,-2.71198,-2.77199,-2.94988,-3.81185,-3.08645
-37.8401,0.973193,0.0469778,6,63,0,41.0761,0.282581,-0.0523286,0.136543,0.300844,0.460236,-0.015528,-0.129243,0.133662,-0.377797,0.174241,-0.384525,0.347223,0.321726,-2.27091,-2.65339,-3.31902,-2.92208,-2.96137,-3.54993,-2.97269,-2.84379,-3.57713,-3.06029
