# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m13_2_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = m13_2_model_1.data.R
# init = 2 (Default)
# random
#   seed = 2734583008
# output
#   file = m13_2_model_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_dept.1,a_dept.2,a_dept.3,a_dept.4,a_dept.5,a_dept.6,a,bm,sigma_dept
# Adaptation terminated
# Step size = 0.437835
# Diagonal elements of inverse mass matrix:
# 0.0088817, 0.0121341, 0.00455981, 0.00687111, 0.00823851, 0.0283431, 0.392974, 0.00562357, 0.1183
-2599.3,0.984044,0.437835,3,7,0,2603.56,0.681498,0.727172,-0.578593,-0.676618,-1.11879,-2.55491,-0.289928,-0.0750874,1.33302
-2601.05,0.972284,0.437835,3,7,0,2602.21,0.700207,0.524667,-0.592661,-0.622083,-1.14492,-2.86914,-1.12628,-0.101731,1.11718
-2602.1,0.951195,0.437835,3,7,0,2606.84,0.457668,0.494186,-0.680154,-0.769575,-1.04962,-2.5337,-0.649027,0.0448577,1.6331
-2603.15,0.988361,0.437835,3,7,0,2604.98,0.55621,0.448387,-0.648424,-0.740212,-1.07905,-2.94521,-0.817455,0.065858,0.754858
-2603.43,0.705994,0.437835,3,7,0,2609.11,0.511929,0.524219,-0.629643,-0.806086,-1.02818,-2.97052,-0.569686,-0.00386311,1.54876
-2601.98,0.999912,0.437835,3,7,0,2605.94,0.504659,0.444316,-0.590928,-0.673352,-0.992524,-2.54069,-0.683403,0.0890593,1.01068
-2599.37,0.954623,0.437835,3,15,0,2607.72,0.717015,0.744914,-0.567965,-0.591974,-1.08812,-2.45271,-0.814165,-0.193606,1.01762
-2603.56,0.761431,0.437835,3,7,0,2605.73,0.795317,0.538303,-0.550635,-0.629185,-0.892679,-2.50155,0.0717846,-0.0963386,2.21528
-2602.68,1,0.437835,3,7,0,2605.66,0.605141,0.782423,-0.568971,-0.627197,-1.08161,-2.59991,-0.909076,-0.11704,0.696515
-2601.76,0.455159,0.437835,3,7,0,2610.81,0.562797,0.536413,-0.561007,-0.637285,-1.00609,-2.77593,0.252881,-0.0350445,2.43146
-2600.64,0.927367,0.437835,3,15,0,2605.81,0.814714,0.77153,-0.607677,-0.575634,-1.0993,-2.46959,-0.118657,-0.180465,1.83428
-2602.52,0.91531,0.437835,3,15,0,2605.81,0.543995,0.493021,-0.492559,-0.566827,-1.08319,-2.49446,0.193039,-0.0529227,1.56187
-2602.37,0.965021,0.437835,3,7,0,2606.2,0.755761,0.688556,-0.719173,-0.691878,-0.976626,-2.68108,-1.22968,-0.135326,1.46532
-2601.19,0.989887,0.437835,3,7,0,2605.73,0.71325,0.61143,-0.63148,-0.621348,-1.07384,-2.27247,0.0227464,-0.101777,1.18249
-2600.63,0.940943,0.437835,3,7,0,2604.45,0.741262,0.701345,-0.543116,-0.743601,-1.08572,-2.62934,-0.922357,-0.12098,0.962598
-2600.6,0.99992,0.437835,3,7,0,2603.33,0.745499,0.69229,-0.455297,-0.682344,-1.11041,-2.48249,-0.724533,-0.1188,1.2942
-2602.25,0.923562,0.437835,3,15,0,2604.65,0.567908,0.598836,-0.714334,-0.544023,-0.986411,-2.69087,-1.45612,-0.0307196,1.56143
-2601.73,0.940294,0.437835,3,15,0,2607.18,0.723907,0.608589,-0.407372,-0.675612,-1.0769,-2.66816,-0.330833,-0.110852,1.44249
-2600.87,0.796336,0.437835,3,15,0,2607.5,0.679984,0.614581,-0.682627,-0.700533,-1.03416,-2.70684,0.0425468,-0.0967681,1.83719
-2600.05,1,0.437835,3,7,0,2602.61,0.682282,0.569765,-0.684474,-0.612451,-0.998848,-2.55134,-1.05756,-0.0391851,1.51402
-2599.99,0.98651,0.437835,3,15,0,2603.45,0.789841,0.607717,-0.622052,-0.573534,-1.0688,-2.6371,-1.30054,-0.131644,1.40625
-2603.44,0.895287,0.437835,3,7,0,2606.36,0.731189,0.683424,-0.647685,-0.569263,-1.22775,-2.48487,-2.05683,-0.102544,1.76402
-2599.15,0.999202,0.437835,4,15,0,2606.23,0.707056,0.647329,-0.516969,-0.559481,-1.14864,-2.48005,-0.427853,-0.152509,1.01818
-2601.12,0.632994,0.437835,3,7,0,2606.99,0.680711,0.683628,-0.463451,-0.588289,-1.12259,-2.45038,-0.253566,-0.0676184,1.3563
-2599.55,1,0.437835,3,15,0,2601.96,0.77694,0.691245,-0.562978,-0.55283,-1.04424,-2.69922,-0.913461,-0.200005,1.05291
-2599.84,0.927967,0.437835,3,15,0,2603.48,0.594081,0.657319,-0.582503,-0.708022,-1.13612,-2.49552,-0.148571,-0.0587102,1.44303
-2599.17,0.953959,0.437835,3,7,0,2602.73,0.607548,0.538347,-0.586006,-0.606804,-1.09169,-2.71219,-0.984353,-0.0571967,0.896841
-2603.53,0.822764,0.437835,3,15,0,2607.97,0.773121,0.749469,-0.406453,-0.587537,-0.917728,-2.38056,-0.19327,-0.18137,2.05289
-2601.67,0.976915,0.437835,3,7,0,2606.37,0.797349,0.620618,-0.47894,-0.555265,-1.01948,-2.76967,-0.331396,-0.201392,0.921396
-2604.91,0.57717,0.437835,3,7,0,2610.72,0.503479,0.668654,-0.675639,-0.660282,-1.06989,-2.45665,-1.43943,-0.102981,2.14636
-2600.28,0.970143,0.437835,3,7,0,2610.41,0.708324,0.549861,-0.558773,-0.598194,-1.05715,-2.69107,-0.0186948,-0.155837,1.48147
