# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = weights_2.data.R
# init = 2 (Default)
# random
#   seed = 3340642632
# output
#   file = weights_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.834098
# Diagonal elements of inverse mass matrix:
# 0.0737233, 0.00199522, 0.00126842
-750.89,0.69623,0.834098,2,7,0,752.658,154.219,0.92895,4.60604
-748.629,0.884032,0.834098,2,3,0,753.474,154.611,0.837516,4.79013
-746.142,1,0.834098,2,3,0,748.677,154.436,0.902209,5.02681
-747.134,0.828345,0.834098,2,3,0,747.796,154.874,0.883144,5.29799
-747.28,0.989646,0.834098,2,3,0,747.55,154.973,0.88046,5.22855
-746.54,0.812692,0.834098,1,3,0,749.534,154.519,0.949152,5.1322
-751.551,0.634983,0.834098,2,3,0,752.011,154.912,0.931978,5.74682
-748.559,0.727663,0.834098,2,7,0,756.634,154.574,0.818668,5.31527
-748.201,0.973153,0.834098,3,11,0,750.104,154.726,0.932864,5.48738
-747.399,0.86644,0.834098,2,3,0,751.191,154.326,0.963847,5.11639
-748.59,0.788771,0.834098,1,1,0,748.687,154.323,0.992469,5.09553
-748.297,0.913371,0.834098,2,7,0,751.093,155.076,0.944325,4.94329
-747.326,1,0.834098,1,1,0,748.221,154.976,0.924573,4.94439
-748.074,0.938875,0.834098,2,7,0,749.468,154.468,0.89405,5.4908
-746.928,0.919365,0.834098,2,7,0,749.754,154.909,0.906733,5.25175
-747.038,0.794886,0.834098,2,3,0,749.44,154.339,0.93056,5.28228
-745.956,0.961117,0.834098,2,3,0,747.588,154.623,0.901647,5.12399
-746.556,0.880573,0.834098,2,3,0,747.202,154.59,0.903691,4.87066
-746.793,0.908881,0.834098,3,15,0,747.769,154.506,0.922131,5.32246
-747.332,0.919616,0.834098,2,3,0,748.063,154.785,0.952631,5.2962
-748.161,0.93866,0.834098,2,3,0,748.485,154.334,0.843468,4.88201
-748.161,0.525526,0.834098,2,3,0,753.79,154.334,0.843468,4.88201
-746.983,0.875758,0.834098,2,3,0,750.091,154.797,0.932669,5.29888
-746.837,0.973779,0.834098,2,3,0,747.584,154.29,0.896802,4.95495
-747.22,0.909634,0.834098,3,11,0,748.23,154.841,0.949516,5.25411
-746.938,0.934656,0.834098,3,11,0,748.932,154.409,0.865021,4.93875
-747.302,0.953766,0.834098,2,3,0,747.947,154.927,0.951442,5.14732
-748.554,0.702881,0.834098,2,3,0,751.05,154.485,0.811137,5.18747
-749.885,0.881193,0.834098,2,3,0,751.342,154.648,1.01373,5.35222
-746.326,1,0.834098,2,3,0,749.754,154.362,0.913256,5.06097
-746.2,0.869932,0.834098,2,3,0,747.75,154.684,0.884786,4.9922
-746.847,0.910373,0.834098,2,3,0,747.097,154.839,0.943841,5.00566
-746.151,1,0.834098,2,3,0,746.963,154.759,0.893264,5.11199
-749.186,0.72955,0.834098,2,7,0,749.297,154.228,0.966823,5.43098
-747.583,1,0.834098,2,3,0,749.107,154.808,0.847604,4.92447
-747.172,0.978937,0.834098,3,11,0,748.897,154.479,0.945664,5.32125
-747.495,0.906872,0.834098,2,3,0,748.726,154.248,0.956287,5.11636
-747.282,0.993547,0.834098,3,11,0,748.465,155.024,0.884555,5.08476
-748.541,0.654548,0.834098,2,7,0,751.933,154.681,0.992692,4.94216
-747.359,1,0.834098,2,3,0,749.735,154.315,0.961219,5.11752
-748.261,0.836128,0.834098,2,3,0,750.648,154.152,0.885885,4.85406
-746.283,0.729216,0.834098,2,3,0,752.473,154.76,0.915433,5.1892
-746.333,0.994441,0.834098,3,11,0,746.583,154.635,0.903133,4.91226
-746.147,0.82287,0.834098,2,3,0,748.118,154.719,0.891062,5.15371
-748.539,0.634893,0.834098,1,3,0,749.375,154.642,0.808843,5.12313
-746.324,1,0.834098,2,3,0,748.227,154.506,0.933218,5.17918
-746.67,0.960093,0.834098,2,3,0,746.872,154.616,0.866739,4.93278
-747.561,0.902239,0.834098,2,7,0,748.172,154.144,0.931026,5.03878
-747.2,0.941297,0.834098,5,43,0,749.021,154.83,0.942516,5.29078
-747.449,0.94662,0.834098,2,7,0,748.29,154.484,0.83968,5.23244
-746.601,0.998159,0.834098,2,3,0,747.572,154.597,0.952637,5.03587
-746.994,0.931268,0.834098,3,15,0,747.677,154.504,0.847497,5.17025
-747.245,0.834695,0.834098,2,7,0,749.488,154.82,0.942654,4.88856
-748.484,0.931865,0.834098,4,19,0,748.996,154.641,0.878021,4.69372
-748.549,0.987831,0.834098,5,43,0,749.287,154.53,0.93773,5.52434
-746.876,0.996919,0.834098,3,11,0,749.074,154.434,0.948057,4.9566
-748.753,0.515073,0.834098,3,11,0,753.801,155.11,0.921391,5.38687
-746.377,0.936586,0.834098,2,3,0,750.102,154.504,0.86899,5.03929
-746.162,0.99771,0.834098,3,15,0,746.6,154.653,0.889348,4.97722
-746.58,0.937945,0.834098,2,3,0,746.843,154.903,0.913123,5.07691
-746.537,0.99137,0.834098,4,19,0,747.078,154.669,0.913779,5.28973
-746.84,0.887805,0.834098,2,3,0,748.263,154.871,0.940006,5.02502
