# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = weights_3.data.R
# init = 2 (Default)
# random
#   seed = 1475325209
# output
#   file = weights_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b1,b2,sigma
# Adaptation terminated
# Step size = 0.16388
# Diagonal elements of inverse mass matrix:
# 0.141708, 0.0714163, 0.0603015, 1.5138
-749.474,0.96729,0.16388,4,15,0,749.562,154.931,5.6278,0.00796336,4.87981
-749.074,0.982252,0.16388,2,3,0,749.882,154.945,5.60464,0.0189193,5.14451
-748.781,0.999085,0.16388,4,31,0,750.315,154.695,5.66749,0.17947,5.08339
-749.08,0.937776,0.16388,5,31,0,751.043,154.946,5.89485,0.00719471,5.27146
-748.634,0.999356,0.16388,3,15,0,750.316,154.947,5.63436,-0.066974,5.06834
-748.069,0.998235,0.16388,4,15,0,748.726,154.844,5.73905,-0.0768848,5.09633
-748.875,0.990995,0.16388,4,31,0,749.911,155.098,5.95641,-0.144214,5.12958
-748.493,0.946308,0.16388,4,15,0,749.49,154.878,6.06337,-0.175962,5.18053
-748.113,0.984254,0.16388,5,31,0,749.11,154.414,5.94031,0.0894493,5.17078
-749.394,0.995268,0.16388,4,15,0,749.897,154.227,6.01527,0.348572,5.13481
-749.516,0.951558,0.16388,5,31,0,752.815,154.904,6.22786,-0.0519412,5.25104
-748.602,0.986122,0.16388,4,15,0,750.351,154.574,6.03751,-0.0601399,4.88319
-750.163,0.999596,0.16388,4,15,0,750.853,155.233,5.75835,-0.410575,4.93925
-751.175,0.886152,0.16388,2,3,0,751.205,155.245,5.73866,-0.410732,5.43035
-749.299,0.981924,0.16388,4,15,0,752.825,154.959,6.0747,-0.182024,4.85848
-749.286,0.74511,0.16388,3,11,0,752.402,154.545,5.79585,-0.270497,5.19325
-748.655,0.989599,0.16388,4,15,0,749.988,154.901,6.03793,-0.0753092,4.94263
-748.129,0.89316,0.16388,3,15,0,750.87,154.577,5.77591,0.138537,5.13863
-748.209,0.999648,0.16388,4,15,0,748.341,154.532,5.95967,-0.128915,5.0824
-748.265,0.978557,0.16388,4,15,0,748.667,154.497,5.86397,0.182914,5.15642
-751.618,0.735704,0.16388,4,23,0,753.022,155.089,6.19892,-0.448226,5.44322
-753.322,0.984711,0.16388,3,7,0,754.124,154.903,6.34559,-0.57306,5.38913
-749.199,0.992632,0.16388,3,7,0,755.034,154.906,5.94598,-0.334777,5.26142
-748.79,0.999017,0.16388,4,15,0,749.709,154.867,5.67077,0.00996805,4.93367
-748.759,0.997975,0.16388,4,31,0,751.677,154.436,5.54901,0.0129223,5.23289
-748.759,0.481995,0.16388,2,7,0,758.064,154.436,5.54901,0.0129223,5.23289
-748.914,0.999478,0.16388,5,31,0,749.533,154.655,6.18648,-0.159233,5.19718
-748.744,0.996191,0.16388,5,31,0,750.254,154.285,5.86687,0.258376,4.95682
-748.425,1,0.16388,2,7,0,748.842,154.328,5.85759,0.212974,5.18302
-748.382,0.977691,0.16388,4,15,0,749.196,154.582,5.74136,0.156649,4.96621
-748.389,0.751686,0.16388,3,15,0,751.106,154.695,6.04412,-0.03669,5.23862
-748.682,0.996868,0.16388,4,31,0,749.272,154.318,5.67323,0.170878,4.91646
-748.538,0.995559,0.16388,4,15,0,748.975,154.354,5.65957,0.157066,4.93763
-749.184,0.981646,0.16388,4,19,0,751.289,155.064,6.03215,-0.16525,5.26008
-751.507,0.917923,0.16388,4,15,0,751.882,155.256,6.06908,-0.482004,5.41891
-748.307,0.851275,0.16388,4,31,0,754.361,154.429,5.84896,0.182448,5.19373
-749.097,0.94684,0.16388,4,15,0,749.922,154.585,5.58399,0.182909,5.2654
-749.76,0.942489,0.16388,4,31,0,752.127,154.922,5.61462,-0.253612,5.36365
-749.474,0.964115,0.16388,4,31,0,750.572,154.77,5.97348,-0.0740192,4.75856
-748.121,1,0.16388,4,19,0,749.752,154.377,5.76305,0.0250232,5.14712
-749.061,0.919037,0.16388,4,31,0,749.821,154.73,5.59288,-0.131361,4.86189
-751.01,0.757138,0.16388,3,11,0,752.244,154.655,5.69149,-0.213571,5.54267
-751.216,0.930767,0.16388,4,15,0,756.093,154.047,5.27353,0.291033,4.99272
-753.592,0.99425,0.16388,3,7,0,754.4,153.593,5.31614,0.367932,5.03843
-752.573,0.954902,0.16388,4,15,0,757.079,154.406,5.82657,0.58091,4.98607
-748.947,1,0.16388,4,31,0,754.81,154.628,5.46047,-0.113846,5.09788
-748.302,0.989327,0.16388,4,15,0,750.812,154.712,5.60087,0.0164787,5.01696
-749.088,0.997807,0.16388,3,7,0,749.178,154.571,5.52153,-0.172925,5.04245
-753.087,0.304434,0.16388,3,15,0,759.853,154.937,5.66243,-0.198736,5.72296
-749.862,0.777228,0.16388,2,3,0,754.251,154.935,5.54665,-0.110466,4.82475
-749.681,0.881679,0.16388,5,31,0,752.204,155.198,5.92994,-0.369331,5.24555
-751.044,0.989858,0.16388,4,15,0,752.254,155.049,6.42636,-0.335384,5.23426
-748.714,0.998214,0.16388,4,31,0,752.695,154.95,5.65329,-0.0665343,4.98992
-750.276,0.780476,0.16388,4,15,0,752.213,154.768,5.98816,-0.453796,5.08446
-749.36,0.999964,0.16388,4,15,0,750.378,154.771,5.89975,0.216167,5.06125
-751.279,0.772578,0.16388,4,15,0,751.779,154.215,6.03236,-0.0760226,5.48799
-749.208,0.992087,0.16388,3,15,0,753.434,154.688,5.59891,-0.0518711,5.36505
-748.491,0.991652,0.16388,4,15,0,750.01,154.97,5.90102,-0.137319,4.96065
-750.026,0.974572,0.16388,4,15,0,751.004,154.204,5.98606,0.394142,5.2707
-748.154,0.996051,0.16388,4,15,0,750.377,154.562,5.96361,-0.108075,4.99323
-749.202,0.980059,0.16388,4,23,0,749.739,154.451,5.46395,0.199828,4.98266
-750.477,0.934558,0.16388,5,31,0,751.844,154.166,6.34435,0.194417,5.152
-751.394,0.957194,0.16388,4,23,0,756.004,154.944,5.62645,0.268469,5.2113
-750.682,0.996077,0.16388,3,15,0,755.344,154.9,5.74977,0.254343,5.20539
-750.93,0.998569,0.16388,3,15,0,753.091,154.976,5.67986,0.229117,5.12567
-751.071,0.815574,0.16388,1,3,0,752.214,154.922,5.67507,0.201108,5.37264
-751.091,0.979657,0.16388,4,15,0,753.209,154.666,5.86557,-0.469053,4.99807
-749.308,0.999532,0.16388,4,15,0,751.932,155.206,5.88644,-0.319505,5.03173
-751.19,0.691014,0.16388,2,7,0,752.936,155.411,5.92137,-0.416849,5.35503
-752.653,0.902386,0.16388,2,3,0,752.766,155.461,5.88234,-0.439611,4.76399
-749.009,0.859316,0.16388,4,23,0,754.256,154.274,5.9189,0.0596487,4.86366
-751.183,0.998403,0.16388,4,31,0,752.796,155.164,6.09122,0.0416871,4.93722
-750.471,1,0.16388,4,15,0,752.278,155.069,5.92307,0.0843426,5.29798
-753.148,0.986036,0.16388,3,7,0,753.824,155.257,5.99317,0.144824,4.93676
