# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = linear_regression_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = linear_regression_3.data.R
# init = 2 (Default)
# random
#   seed = 2159401294
# output
#   file = linear_regression_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma,linpred.1,linpred.2,linpred.3,linpred.4,linpred.5,linpred.6,linpred.7,linpred.8,linpred.9,linpred.10,linpred.11,linpred.12,linpred.13,linpred.14,linpred.15,linpred.16,linpred.17,linpred.18,linpred.19,linpred.20,linpred.21,linpred.22,linpred.23,linpred.24,linpred.25,linpred.26,linpred.27,linpred.28,linpred.29,linpred.30,linpred.31,linpred.32,linpred.33,linpred.34,linpred.35,linpred.36,linpred.37,linpred.38,linpred.39,linpred.40,linpred.41,linpred.42,linpred.43,linpred.44,linpred.45,linpred.46,linpred.47,linpred.48,linpred.49,linpred.50,linpred.51,linpred.52,linpred.53,linpred.54,linpred.55,linpred.56,linpred.57,linpred.58,linpred.59,linpred.60,linpred.61,linpred.62,linpred.63,linpred.64,linpred.65,linpred.66,linpred.67,linpred.68,linpred.69,linpred.70,linpred.71,linpred.72,linpred.73,linpred.74,linpred.75,linpred.76,linpred.77,linpred.78,linpred.79,linpred.80,linpred.81,linpred.82,linpred.83,linpred.84,linpred.85,linpred.86,linpred.87,linpred.88,linpred.89,linpred.90,linpred.91,linpred.92,linpred.93,linpred.94,linpred.95,linpred.96,linpred.97,linpred.98,linpred.99,linpred.100,linpred.101,linpred.102,linpred.103,linpred.104,linpred.105,linpred.106,linpred.107,linpred.108,linpred.109,linpred.110,linpred.111,linpred.112,linpred.113,linpred.114,linpred.115,linpred.116,linpred.117,linpred.118,linpred.119,linpred.120,linpred.121,linpred.122,linpred.123,linpred.124,linpred.125,linpred.126,linpred.127,linpred.128,linpred.129,linpred.130,linpred.131,linpred.132,linpred.133,linpred.134,linpred.135,linpred.136,linpred.137,linpred.138,linpred.139,linpred.140,linpred.141,linpred.142,linpred.143,linpred.144,linpred.145,linpred.146,linpred.147,linpred.148,linpred.149,linpred.150,linpred.151,linpred.152,linpred.153,linpred.154,linpred.155,linpred.156,linpred.157,linpred.158,linpred.159,linpred.160,linpred.161,linpred.162,linpred.163,linpred.164,linpred.165,linpred.166,linpred.167,linpred.168,linpred.169,linpred.170,linpred.171,linpred.172,linpred.173,linpred.174,linpred.175,linpred.176,linpred.177,linpred.178,linpred.179,linpred.180,linpred.181,linpred.182,linpred.183,linpred.184,linpred.185,linpred.186,linpred.187,linpred.188,linpred.189,linpred.190,linpred.191,linpred.192,linpred.193,linpred.194,linpred.195,linpred.196,linpred.197,linpred.198,linpred.199,linpred.200,linpred.201,linpred.202,linpred.203,linpred.204,linpred.205,linpred.206,linpred.207,linpred.208,linpred.209,linpred.210,linpred.211,linpred.212,linpred.213,linpred.214,linpred.215,linpred.216,linpred.217,linpred.218,linpred.219,linpred.220,linpred.221,linpred.222,linpred.223,linpred.224,linpred.225,linpred.226,linpred.227,linpred.228,linpred.229,linpred.230,linpred.231,linpred.232,linpred.233,linpred.234,linpred.235,linpred.236,linpred.237,linpred.238,linpred.239,linpred.240,linpred.241,linpred.242,linpred.243,linpred.244,linpred.245,linpred.246,linpred.247
# Adaptation terminated
# Step size = 0.792141
# Diagonal elements of inverse mass matrix:
# 0.00156877, 0.00141463, 0.000803385
-11.7898,0.890279,0.792141,3,7,0,13.374,0.00682199,0.734094,0.62985,0.33199,-1.48009,0.924216,-0.411512,-0.755904,1.20102,1.08837,0.566949,-0.417949,-1.00696,0.415674,-0.292423,-0.743029,0.463953,-0.247362,-1.06811,-0.794527,-0.520945,1.15918,-0.839588,-0.726936,0.193589,-0.688313,0.28371,0.338427,0.512232,0.509014,1.32332,-0.656127,-0.0284958,0.206463,-0.0767751,0.681037,0.113124,0.35452,0.830876,-0.282767,-0.955458,1.25252,0.386706,0.257961,0.270836,1.43598,-0.791309,-0.192645,0.608791,0.657081,-0.977989,-0.29886,0.309459,1.22677,0.415674,-1.11639,1.34586,0.264399,-0.450135,-1.38353,1.38126,-0.562787,-0.430823,-0.839588,0.0133463,1.13021,0.978932,0.827657,0.531544,1.26217,-0.311734,0.930653,-0.269892,0.476828,-0.726936,0.557293,0.344864,-0.636815,-0.910398,-0.314953,-0.0381516,0.335208,1.16883,-1.35135,0.715097,1.18814,-0.302078,-0.0639006,-0.334265,0.747192,-1.44147,1.34586,0.882374,-0.955458,0.44786,1.36839,-0.318172,0.463953,-1.09064,0.0841559,-0.669001,-0.424386,0.0390952,0.991807,-0.659345,0.0905932,-0.511289,-0.643252,-0.611066,-1.57021,0.212901,0.599135,-0.411512,0.0358766,0.364176,-0.421167,-0.314953,-0.755904,0.389925,-0.678657,0.602354,1.06584,-0.620722,-1.48009,0.0616256,0.341646,0.16784,-0.424386,-0.942584,0.367394,-0.929709,0.293366,-0.987645,-0.411512,-0.0156213,0.628103,-0.791309,1.53897,-0.0542447,-0.0569317,-0.0381516,-0.0317144,-0.0928682,-1.19042,-1.3771,-1.01661,0.528323,-0.498414,0.647414,-0.105743,0.566368,-0.118617,0.367394,-1.24835,-0.588536,-1.01661,0.682819,0.0970304,0.489702,1.58081,-0.163678,0.801908,0.65707,-1.20973,1.6645,0.824439,-0.108961,1.10124,0.0197835,-0.405074,-0.340702,-0.199083,-0.463009,-0.231269,0.148528,0.335208,0.409237,0.908123,-0.154022,-0.166896,0.943527,-0.0252772,0.26118,-1.50262,1.31045,0.293366,0.0294394,0.0712814,0.451079,-0.115399,1.26539,0.669945,0.505795,-0.0896496,0.695694,-0.833151,-0.607847,-1.14858,-0.636815,-1.05524,-0.13471,0.689257,-0.102524,0.373832,0.203245,0.37705,0.293366,-1.06167,-0.942494,0.460734,0.721443,0.183933,-0.900742,0.270836,1.19136,1.05618,-0.208739,-1.21617,-0.0639006,-1.29985,0.270836,0.28371,-0.459791,0.618447,0.0262208,-0.36967,0.0358766,0.721443,0.715005,-0.118617,-1.06489,0.212901,-0.343921,-0.76084,-0.181819,0.991807,-0.176552,0.882374,-0.733374,-1.02305,-0.0767751,-0.775216,-0.0896496,-0.0993054,0.338427,-0.62394,-0.437261,0.241868,-1.20973,1.04009
-12.0659,0.84709,0.792141,3,7,0,13.696,0.00150079,0.811122,0.656763,0.360788,-1.64144,1.01516,-0.460728,-0.841258,1.321,1.19653,0.620402,-0.467841,-1.11865,0.453253,-0.329144,-0.827033,0.506599,-0.279355,-1.18622,-0.883934,-0.581644,1.27477,-0.933723,-0.809251,0.207865,-0.766575,0.307443,0.367901,0.559944,0.556388,1.45614,-0.731011,-0.0375229,0.222091,-0.0908681,0.746461,0.118957,0.385683,0.912023,-0.318475,-1.06175,1.3779,0.421246,0.278992,0.293218,1.58062,-0.880378,-0.218897,0.666634,0.719991,-1.08665,-0.336256,0.335894,1.34945,0.453253,-1.23957,1.48104,0.286105,-0.503405,-1.53475,1.52016,-0.627877,-0.482067,-0.933723,0.00870967,1.24276,1.07561,0.908466,0.581282,1.38857,-0.350482,1.02227,-0.304249,0.520824,-0.809251,0.609733,0.375014,-0.709673,-1.01196,-0.354038,-0.0481919,0.364345,1.28544,-1.49918,0.784095,1.30678,-0.339813,-0.0766427,-0.375376,0.819557,-1.59876,1.48104,0.968924,-1.06175,0.488817,1.50593,-0.357594,0.506599,-1.21112,0.0869494,-0.745236,-0.474954,0.0371605,1.08984,-0.734567,0.0940621,-0.570975,-0.716786,-0.681222,-1.74101,0.229203,0.655965,-0.460728,0.0336041,0.396352,-0.471398,-0.354038,-0.841258,0.424803,-0.755906,0.659522,1.17164,-0.691891,-1.64144,0.0620549,0.371457,0.179414,-0.474954,-1.04753,0.399908,-1.0333,0.318112,-1.09732,-0.460728,-0.0232975,0.687972,-0.880378,1.69442,-0.0659737,-0.0689426,-0.0481919,-0.0410792,-0.10865,-1.32137,-1.52763,-1.12932,0.577722,-0.55675,0.709311,-0.122875,0.61976,-0.137101,0.399908,-1.38538,-0.656328,-1.12932,0.74843,0.101175,0.535049,1.74065,-0.18689,0.880015,0.71998,-1.3427,1.83312,0.90491,-0.126432,1.21076,0.0158224,-0.453616,-0.382489,-0.226009,-0.51763,-0.261573,0.158076,0.364345,0.446141,0.997375,-0.176221,-0.190446,1.03649,-0.0339665,0.282549,-1.66633,1.44192,0.318112,0.0264914,0.072724,0.492373,-0.133544,1.39213,0.734205,0.552831,-0.105094,0.762656,-0.92661,-0.677666,-1.27513,-0.709673,-1.172,-0.154882,0.755543,-0.119319,0.407021,0.218534,0.410577,0.318112,-1.17911,-1.04743,0.503042,0.791107,0.197196,-1.00129,0.293218,1.31033,1.16097,-0.236678,-1.34982,-0.0766427,-1.44228,0.293218,0.307443,-0.514074,0.677303,0.0229351,-0.414496,0.0336041,0.791107,0.783994,-0.137101,-1.18267,0.229203,-0.386045,-0.846712,-0.206934,1.08984,-0.201115,0.968924,-0.816363,-1.13643,-0.0908681,-0.862596,-0.105094,-0.115763,0.367901,-0.695448,-0.489179,0.261211,-1.3427,1.14319
-15.1771,0.770936,0.792141,2,3,0,15.6705,-0.109214,0.786234,0.627431,0.239049,-1.70174,0.873339,-0.55726,-0.926113,1.1698,1.04915,0.490697,-0.564155,-1.195,0.328677,-0.429713,-0.912324,0.380385,-0.381452,-1.26049,-0.96748,-0.674466,1.12499,-1.01574,-0.895088,0.0908185,-0.853722,0.187341,0.245944,0.432094,0.428647,1.30079,-0.819249,-0.14704,0.104607,-0.198749,0.612888,0.00463779,0.26318,0.773369,-0.419371,-1.13984,1.22496,0.297652,0.159763,0.173552,1.42145,-0.964033,-0.322849,0.535511,0.58723,-1.16397,-0.436607,0.214919,1.19738,0.328677,-1.3122,1.32493,0.166657,-0.598627,-1.59832,1.36285,-0.71928,-0.577943,-1.01574,-0.102226,1.09396,0.931942,0.769922,0.452777,1.2353,-0.450396,0.880233,-0.405582,0.394174,-0.895088,0.480355,0.252838,-0.798566,-1.09158,-0.453843,-0.157382,0.242496,1.13533,-1.56385,0.649367,1.15601,-0.440054,-0.18496,-0.474527,0.683741,-1.66037,1.32493,0.828525,-1.13984,0.363149,1.34906,-0.457291,0.380385,-1.28462,-0.0263872,-0.833038,-0.571049,-0.0746484,0.945731,-0.822697,-0.0194928,-0.664124,-0.80546,-0.770988,-1.79826,0.111502,0.525169,-0.55726,-0.0780956,0.273521,-0.567602,-0.453843,-0.926113,0.301099,-0.84338,0.528616,1.02502,-0.78133,-1.70174,-0.0505178,0.249391,0.0632406,-0.571049,-1.12605,0.276969,-1.11226,0.197682,-1.17431,-0.55726,-0.133251,0.556194,-0.964033,1.53176,-0.174618,-0.177496,-0.157382,-0.150487,-0.215985,-1.39149,-1.59143,-1.20534,0.449327,-0.650335,0.576877,-0.229774,0.490074,-0.243563,0.276969,-1.45354,-0.746858,-1.20534,0.614797,-0.0125983,0.407963,1.57657,-0.291824,0.742344,0.587219,-1.41217,1.6662,0.766475,-0.233221,1.06294,-0.0953318,-0.550366,-0.481421,-0.329743,-0.612416,-0.364215,0.0425573,0.242496,0.321783,0.856103,-0.281482,-0.295271,0.894022,-0.143593,0.16321,-1.72587,1.28701,0.197682,-0.0849901,-0.0401762,0.366597,-0.240115,1.23874,0.601008,0.425199,-0.212537,0.628586,-1.00885,-0.767541,-1.34667,-0.798566,-1.24671,-0.260799,0.621691,-0.226326,0.283863,0.10116,0.28731,0.197682,-1.2536,-1.12596,0.376938,0.656164,0.0804768,-1.08124,0.173552,1.15946,1.01468,-0.340085,-1.41907,-0.18496,-1.50869,0.173552,0.187341,-0.608969,0.545852,-0.0884373,-0.512446,-0.0780956,0.656164,0.649269,-0.243563,-1.25705,0.111502,-0.484868,-0.9314,-0.311253,0.945731,-0.305613,0.828525,-0.901983,-1.21223,-0.198749,-0.946797,-0.212537,-0.222879,0.245944,-0.784777,-0.584838,0.142527,-1.41217,0.997439
-14.3008,0.911027,0.792141,2,3,0,17.826,-0.0501753,0.856581,0.638231,0.329248,-1.78519,1.02029,-0.53831,-0.940166,1.34328,1.21183,0.603412,-0.545821,-1.23311,0.426896,-0.399351,-0.925144,0.483231,-0.346771,-1.30447,-0.985234,-0.666003,1.29445,-1.03781,-0.906365,0.167755,-0.861297,0.272913,0.33676,0.539566,0.53581,1.48599,-0.823741,-0.091386,0.182778,-0.147721,0.736536,0.0738632,0.355538,0.911377,-0.388084,-1.17302,1.40337,0.393095,0.242868,0.257891,1.61744,-0.981479,-0.282925,0.652236,0.708583,-1.19931,-0.406862,0.302959,1.37332,0.426896,-1.3608,1.51228,0.250379,-0.583378,-1.67252,1.5536,-0.714826,-0.560844,-1.03781,-0.0425624,1.26065,1.08414,0.907621,0.5621,1.41464,-0.421885,1.0278,-0.373061,0.498253,-0.906365,0.592145,0.344271,-0.801207,-1.12044,-0.42564,-0.102653,0.333004,1.30572,-1.63496,0.776279,1.32826,-0.410618,-0.132698,-0.448174,0.813729,-1.74012,1.51228,0.971467,-1.17302,0.464452,1.53857,-0.429396,0.483231,-1.33076,0.0400623,-0.838763,-0.553333,-0.0125171,1.09916,-0.827496,0.0475736,-0.654736,-0.808718,-0.771161,-1.89035,0.190289,0.640969,-0.53831,-0.0162727,0.366805,-0.549577,-0.42564,-0.940166,0.39685,-0.85003,0.644724,1.18554,-0.782428,-1.78519,0.0137726,0.340515,0.13771,-0.553333,-1.15799,0.370561,-1.14297,0.28418,-1.21057,-0.53831,-0.0763634,0.67477,-0.981479,1.73762,-0.121431,-0.124567,-0.102653,-0.0951417,-0.166499,-1.44718,-1.66501,-1.24438,0.558341,-0.639713,0.697304,-0.181522,0.602734,-0.196545,0.370561,-1.51478,-0.744872,-1.24438,0.738616,0.0550849,0.513276,1.78645,-0.249124,0.877576,0.708571,-1.46972,1.88409,0.903865,-0.185278,1.22685,-0.035051,-0.530799,-0.455686,-0.290436,-0.598401,-0.327993,0.115176,0.333004,0.419384,1.00151,-0.237857,-0.25288,1.04282,-0.0876304,0.246624,-1.81148,1.47097,0.28418,-0.023784,0.0250396,0.468208,-0.192789,1.41839,0.723593,0.532054,-0.162744,0.753639,-1.0303,-0.767406,-1.39836,-0.801207,-1.28944,-0.215323,0.746127,-0.177766,0.378072,0.179022,0.381828,0.28418,-1.29695,-1.15789,0.479475,0.783684,0.156488,-1.10917,0.257891,1.33201,1.17427,-0.301703,-1.47723,-0.132698,-1.57487,0.257891,0.272913,-0.594645,0.663503,-0.0275397,-0.489487,-0.0162727,0.783684,0.776173,-0.196545,-1.30071,0.190289,-0.459441,-0.945926,-0.270292,1.09916,-0.264147,0.971467,-0.913877,-1.25189,-0.147721,-0.9627,-0.162744,-0.174011,0.33676,-0.786184,-0.568355,0.22409,-1.46972,1.15549
-14.6344,0.985389,0.792141,3,15,0,14.9755,-0.0605218,0.856611,0.643806,0.318915,-1.7956,1.00998,-0.548674,-0.950544,1.33298,1.20153,0.593088,-0.556185,-1.2435,0.416566,-0.409709,-0.935521,0.472903,-0.357128,-1.31486,-0.995614,-0.676371,1.28415,-1.04819,-0.916742,0.157416,-0.871672,0.262578,0.326427,0.52924,0.525484,1.4757,-0.834114,-0.101734,0.172439,-0.158071,0.726217,0.063521,0.345206,0.901064,-0.398442,-1.1834,1.39307,0.382764,0.232532,0.247555,1.60715,-0.991858,-0.29328,0.641914,0.698263,-1.20969,-0.417221,0.292625,1.36303,0.416566,-1.37119,1.50199,0.240043,-0.593743,-1.68292,1.5433,-0.725196,-0.571209,-1.04819,-0.0529087,1.25035,1.07383,0.897308,0.551775,1.40434,-0.432244,1.01749,-0.383419,0.487926,-0.916742,0.581821,0.333938,-0.81158,-1.13082,-0.436,-0.113001,0.322671,1.29542,-1.64537,0.765961,1.31796,-0.420977,-0.143048,-0.458535,0.803413,-1.75053,1.50199,0.961156,-1.1834,0.454124,1.52828,-0.439756,0.472903,-1.34115,0.0297189,-0.849138,-0.563697,-0.0228623,1.08885,-0.83787,0.0372304,-0.665104,-0.819091,-0.781533,-1.90076,0.179951,0.630646,-0.548674,-0.0266181,0.356473,-0.559941,-0.436,-0.950544,0.38652,-0.860405,0.634402,1.17524,-0.792801,-1.7956,0.00342827,0.330183,0.12737,-0.563697,-1.16838,0.360229,-1.15336,0.273846,-1.22096,-0.548674,-0.0867108,0.664449,-0.991858,1.72734,-0.13178,-0.134916,-0.113001,-0.10549,-0.17685,-1.45758,-1.67541,-1.25476,0.548015,-0.65008,0.686983,-0.191873,0.59241,-0.206896,0.360229,-1.52518,-0.755243,-1.25476,0.728297,0.044742,0.502949,1.77616,-0.259477,0.867262,0.698251,-1.48011,1.87382,0.893552,-0.195629,1.21655,-0.0453971,-0.541162,-0.466046,-0.300791,-0.608767,-0.338349,0.104835,0.322671,0.409054,0.991203,-0.24821,-0.263233,1.03252,-0.0979782,0.236288,-1.82189,1.46068,0.273846,-0.0341297,0.0146957,0.45788,-0.203141,1.4081,0.713274,0.521728,-0.173094,0.74332,-1.04068,-0.777777,-1.40875,-0.81158,-1.29983,-0.225675,0.735809,-0.188117,0.367741,0.168683,0.371496,0.273846,-1.30734,-1.16827,0.469147,0.773367,0.146149,-1.11955,0.247555,1.32171,1.16397,-0.312059,-1.48762,-0.143048,-1.58527,0.247555,0.262578,-0.605011,0.653181,-0.0378855,-0.499848,-0.0266181,0.773367,0.765855,-0.206896,-1.3111,0.179951,-0.469802,-0.956304,-0.280646,1.08885,-0.274501,0.961156,-0.924254,-1.26228,-0.158071,-0.973079,-0.173094,-0.184362,0.326427,-0.796556,-0.57872,0.213753,-1.48011,1.14519
-11.962,1,0.792141,2,3,0,14.8801,-0.0432665,0.780815,0.62932,0.302596,-1.62482,0.932514,-0.488225,-0.854536,1.22693,1.10711,0.552509,-0.495072,-1.12157,0.391606,-0.361556,-0.840842,0.442958,-0.313628,-1.18661,-0.895617,-0.604623,1.18243,-0.943546,-0.823724,0.155387,-0.782643,0.251244,0.309443,0.49431,0.490887,1.35702,-0.748408,-0.0808321,0.169081,-0.132184,0.673858,0.0698005,0.326561,0.833234,-0.351286,-1.06679,1.28171,0.360795,0.223857,0.23755,1.47685,-0.892194,-0.255429,0.597014,0.648378,-1.09075,-0.368403,0.278632,1.25432,0.391606,-1.23796,1.38099,0.230703,-0.529306,-1.52211,1.41865,-0.649128,-0.508765,-0.943546,-0.036327,1.15162,0.990713,0.82981,0.514851,1.29198,-0.382097,0.939361,-0.337592,0.456652,-0.823724,0.542239,0.31629,-0.727867,-1.01886,-0.385521,-0.0911025,0.30602,1.1927,-1.48788,0.710086,1.21324,-0.371827,-0.11849,-0.406061,0.744224,-1.58373,1.38099,0.888009,-1.06679,0.425841,1.40495,-0.388944,0.442958,-1.21058,0.0389893,-0.762102,-0.501919,-0.00893926,1.00441,-0.751832,0.0458362,-0.594352,-0.734714,-0.70048,-1.72067,0.175928,0.586744,-0.488225,-0.0123627,0.336831,-0.498495,-0.385521,-0.854536,0.364219,-0.772372,0.590167,1.08315,-0.71075,-1.62482,0.015025,0.312867,0.127999,-0.501919,-1.0531,0.340254,-1.0394,0.261515,-1.10103,-0.488225,-0.0671382,0.617555,-0.892194,1.5864,-0.10822,-0.111078,-0.0911025,-0.0842555,-0.149301,-1.3167,-1.51526,-1.13184,0.511425,-0.580658,0.638096,-0.162995,0.551891,-0.176689,0.340254,-1.37833,-0.676515,-1.13184,0.675754,0.0526831,0.470346,1.6309,-0.224618,0.802422,0.648366,-1.33724,1.71991,0.826387,-0.166419,1.1208,-0.0294801,-0.481378,-0.412908,-0.262276,-0.543,-0.296511,0.107459,0.30602,0.384759,0.915397,-0.214347,-0.228041,0.953055,-0.0774086,0.22728,-1.64878,1.34333,0.261515,-0.0192097,0.0252954,0.429265,-0.173266,1.2954,0.66206,0.487463,-0.145878,0.689448,-0.936699,-0.697056,-1.2722,-0.727867,-1.17292,-0.193806,0.682601,-0.159572,0.347101,0.165658,0.350525,0.261515,-1.17977,-1.053,0.439535,0.716836,0.145117,-1.00859,0.23755,1.21666,1.07288,-0.272546,-1.34409,-0.11849,-1.4331,0.23755,0.251244,-0.539577,0.607285,-0.0226331,-0.44372,-0.0123627,0.716836,0.709989,-0.176689,-1.18319,0.175928,-0.416332,-0.859786,-0.243913,1.00441,-0.238312,0.888009,-0.830571,-1.13868,-0.132184,-0.875076,-0.145878,-0.156148,0.309443,-0.714173,-0.515612,0.206739,-1.33724,1.05576
